name,structure_type,code,water_threshold,inlet/outlet,geometry,CL_threshold_during_regular_operation_(mg/l),CL_threshold_during_drought_(mg/l),subarea,main_water_branch
Gemaal Delta,Gemaal,16215GM,-1.42,primair in- en uitlaatpunt,POINT (4.396740940955711 51.8446494337784),250,600,IJsselmonde,Oude Maas
Inlaatduiker Aymon-Louise - duiker 260,Duiker,10243DU,0.0,primair inlaatpunt,POINT (4.213407801460696 51.67984488219478),250.0,600,Goeree-Overflakkee,Volkerak / Krammer
Hevel Donkersloot,Hevel,04684HE,-0.7,primair inlaatpunt,POINT (4.625155920210724 51.87333277677378),250,600,IJsselmonde,Noord
Hevel IJsselmonde - Oostdijk,Hevel,09676HE,-1.0,primair inlaatpunt,POINT (4.554718976916066 51.90151155307096),500,2500,IJsselmonde,Nieuwe Maas
Hevel Strooppot,Hevel,11309HE,-1.0,primair in- en uitlaatpunt,POINT (4.662273256429671 51.82794836050879),250,600,IJsselmonde,Noord
Hevel Gusto,Hevel,04801HE,-1.3,primair inlaatpunt,POINT (4.600395691317698 51.88942293499738),300,500,IJsselmonde,Nieuwe Maas
Gemaal Stadspolders,Gemaal,12811GM,-1.29,primair in- en uitlaatpunt,POINT (4.696984324211325 51.80964808940002),250,600,Eiland van Dordrecht,Wantij
Gemaal Molenpolder,Gemaal,03296GM,-0.4,primair in- en uitlaatpunt,POINT (4.435984601567871 51.72615468649894),250,600,Hoeksche Waard,Hollandsch Diep
Hevel Delta - Poortugaalse Haven,Hevel,13754HE,0.4,primair in- en uitlaatpunt,POINT (4.385084442853734 51.84539818459349),500,800,IJsselmonde,Oude Maas
Gemaal Galathee,Gemaal,10165GM,-1.25,primair in- en uitlaatpunt,POINT (4.314362908502851 51.6619627636821),250.0,600,Goeree-Overflakkee,Volkerak
Inlaat haven 's-Gravendeel,Duiker,09208DU,-0.06,primair inlaatpunt,POINT (4.624446327887255 51.78134651866242),250,600,Hoeksche Waard,Dordtsche Kil
Hevel Goidschalxoord,Hevel,29594HE,0.0,primair inlaatpunt,POINT (4.466291978586888 51.82869347481678),250,600,Hoeksche Waard,Oude Maas
Gemaal Noordbovenpolder,Gemaal,07611GM,0.28,primair in- en uitlaatpunt,POINT (4.757923647448708 51.792284779837495),250,600,Eiland van Dordrecht,Wantij
Gemaal De Eendracht,Gemaal,00450GM,-1.75,primair in- en uitlaatpunt,POINT (4.214642921429557 51.682203475419165),250.0,600,Goeree-Overflakkee,Volkerak / Krammer
Gemaal Staring,Gemaal,12806GM,-0.72,primair in- en uitlaatpunt,POINT (4.757250550776568 51.7898009793042),250,600,Eiland van Dordrecht,Nieuwe Merwede
Gemaal Spuipolder,Gemaal,12083GM,0.0,primair in- en uitlaatpunt,POINT (4.168640427352139 51.76063380830889),250,600,Goeree-Overflakkee,Haringvliet
Inlaatsluis Bernisse,Sluis,08177SL,0.0,primair inlaatpunt,POINT (4.289943675966091 51.807306009071205),150,150,Voorne-Putten,Spui
Gemaal De Bommelse Polders,Gemaal,00533GM,-0.5,primair in- en uitlaatpunt,POINT (4.28029349129409 51.71678428406937),250,600,Goeree-Overflakkee,Haringvliet
Inlaat Trekdam,Duiker,03143DU,-1.3,primair inlaatpunt,POINT (4.624156907396739 51.75759563208214),250,600,Hoeksche Waard,Dordtsche Kil
Gemaal Leenheerenpolder,Gemaal,03194GM,-0.33,primair in- en uitlaatpunt,POINT (4.274557192296392 51.798996194316075),250,600,Hoeksche Waard,Spui
Inlaatduiker Prikgat,Duiker,01140DU,-0.9,primair inlaatpunt,POINT (4.166461053130981 51.759676338224686),250,600,Goeree-Overflakkee,Haringvliet
Hevel Zuidersluisdam,Hevel,13746HE,-0.2,primair inlaatpunt,POINT (4.658332000370499 51.81237825177127),250,600,Eiland van Dordrecht,Oude Maas
Gemaal Westersepolder,Gemaal,03295GM,-0.63,primair in- en uitlaatpunt,POINT (4.393895804456064 51.72835229157174),250,600,Hoeksche Waard,Haringvliet
Inlaatduiker Zuiderland,Duiker,00790DU,-0.55,primair inlaatpunt,POINT (4.210603920485024 51.67783006669308),250.0,600,Goeree-Overflakkee,Volkerak / Krammer
Hevel Willemsdorp,Hevel,12799HE,-0.4,primair inlaatpunt,POINT (4.633328388903106 51.7315602379004),250,600,Eiland van Dordrecht,Nieuwe Merwede
Hevel Wantijdijk,Hevel,14194HE,-1.75,primair inlaatpunt,POINT (4.73604124015728 51.80427076530305),250,600,Eiland van Dordrecht,Wantij
Hevel Oostmolendijk,Hevel,04720HE,0.0,primair inlaatpunt,POINT (4.638661258434592 51.860758000336425),250,600,IJsselmonde,Noord
Gemaal Johannes Vis,Gemaal,03464GM,-1.85,primair in- en uitlaatpunt,POINT (4.68661660803274 51.75609573399214),250,600,Eiland van Dordrecht,Nieuwe Merwede
Inlaat Goudswaard,Duiker,03122DU,-1.1,primair inlaatpunt,POINT (4.272866128601912 51.7962124292071),400,600,Hoeksche Waard,Spui
Gemaal Volharding,Gemaal,11019GM,-1.5,primair in- en uitlaatpunt,POINT (4.58945695221369 51.71711752422364),250,600,Hoeksche Waard,Hollandsch Diep
