# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet
215,2,20,649.2361607,36.63,0
216,2,20,634.0758036,36.26,0
217,2,20,640.3119196,37.9,0
218,2,20,642.8748214,40.47,0
219,2,20,643.3590179,42.11,0
220,2,20,639.4437054,48.79,0
221,2,20.09104046,661.8251445,52.35,0
222,2,20.61864162,689.7880058,49.09,0
223,2,21.58121387,740.8043353,46.7,0
224,2,21.29349711,725.5553468,44.84,0
225,2,20.27138728,671.383526,43.52,0
226,2,20,647.0238839,43.63,0
227,2,20,649.9290625,43.76,0
228,2,20.2316474,669.2773121,43.22,0
229,2,21.04190751,712.2210983,42.47,0
230,2,20.90939306,705.1978324,41.69,0
231,2,20,651.1979911,40.5,0
232,2,20,619.9923661,38.89,0
233,2,20,596.2834375,37.27,0
234,2,20,578.2596429,35.91,0
235,2,20,567.0479911,35.16,0
236,2,20,563.6920089,35.04,0
237,2,20,571.1970536,35.12,0
238,2,20,574.3860714,34.98,0
239,2,20,568.1416071,34.69,0
240,2,20,557.1136161,34.3,0
241,2,20,545.2675,33.85,0
242,2,20,545.7183036,69.43,0
243,2,20,579.0777679,117.41,0
244,2,20,589.2625893,94.42,0
245,2,20,578.4433036,70.84,0
246,2,20,578.9525446,59.03,0
247,2,20,595.0812946,51.32,0
248,2,20,629.8766518,45.87,0
249,2,20.77630058,698.1439306,42.32,0
250,2,24.43627168,892.1223988,39.93,29.27939306
251,2,26.23800578,987.6143064,38.33,41.17083815
252,2,26.26488439,989.0388728,37.41,41.34823699
253,2,25.73468208,960.9381503,38.04,37.84890173
254,2,25.34812139,940.4504335,39.05,35.29760116
