# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet,Lobith
1.520000000000000000e+02,0.000000000000000000e+00,1.129299132947977213e+01,7.774114161849711309e+02,6.214000000000000057e+01,0.000000000000000000e+00,1.072190000000000055e+03
1.530000000000000000e+02,0.000000000000000000e+00,1.034645953757225456e+01,7.573449421965317470e+02,6.002000000000000313e+01,0.000000000000000000e+00,1.045990000000000009e+03
1.540000000000000000e+02,0.000000000000000000e+00,9.231575144508671116e+00,7.337093930635837751e+02,5.810000000000000142e+01,0.000000000000000000e+00,1.015129999999999995e+03
1.550000000000000000e+02,0.000000000000000000e+00,8.283959537572254561e+00,7.136199421965317242e+02,5.632999999999999829e+01,0.000000000000000000e+00,9.888999999999999773e+02
1.560000000000000000e+02,0.000000000000000000e+00,7.603684971098267908e+00,6.991981213872833223e+02,5.471999999999999886e+01,0.000000000000000000e+00,9.700700000000000500e+02
1.570000000000000000e+02,0.000000000000000000e+00,6.717124277456646197e+00,6.804030346820809427e+02,5.321000000000000085e+01,0.000000000000000000e+00,9.455299999999999727e+02
1.580000000000000000e+02,2.000000000000000000e+00,6.203034682080923012e+00,6.675043352601155675e+02,5.439999999999999858e+01,0.000000000000000000e+00,9.312999999999999545e+02
1.590000000000000000e+02,2.000000000000000000e+00,6.280708092485550509e+00,6.691510115606936324e+02,5.507999999999999829e+01,0.000000000000000000e+00,9.334500000000000455e+02
1.600000000000000000e+02,2.000000000000000000e+00,7.006502890173409881e+00,6.845378612716763200e+02,7.156999999999999318e+01,0.000000000000000000e+00,9.535399999999999636e+02
1.610000000000000000e+02,2.000000000000000000e+00,1.277167630057803116e+01,8.067595375722542030e+02,1.032399999999999949e+02,2.051722543352600070e+01,1.113119999999999891e+03
1.620000000000000000e+02,2.000000000000000000e+00,2.132695086705202669e+01,9.881313583815028778e+02,1.026400000000000006e+02,4.310315028901734280e+01,1.349930000000000064e+03
1.630000000000000000e+02,2.000000000000000000e+00,2.379190751445087315e+01,1.040388439306358350e+03,9.365000000000000568e+01,4.961063583815029432e+01,1.418160000000000082e+03
1.640000000000000000e+02,2.000000000000000000e+00,2.216907514450867112e+01,1.005984393063583866e+03,8.129999999999999716e+01,4.532635838150288521e+01,1.373240000000000009e+03
1.650000000000000000e+02,2.000000000000000000e+00,2.068352601156069070e+01,9.744907514450865165e+02,7.290999999999999659e+01,4.140450867052021522e+01,1.332119999999999891e+03
1.660000000000000000e+02,2.000000000000000000e+00,1.866004335260115354e+01,9.315929190751444366e+02,6.670999999999999375e+01,3.606251445086704166e+01,1.276109999999999900e+03
1.670000000000000000e+02,0.000000000000000000e+00,1.798446531791908143e+01,9.192706647398845234e+02,6.239000000000000057e+01,3.427898843930636730e+01,1.257410000000000082e+03
1.680000000000000000e+02,0.000000000000000000e+00,1.745881502890173209e+01,9.081268786127166095e+02,5.968999999999999773e+01,3.289127167630056903e+01,1.242859999999999900e+03
1.690000000000000000e+02,0.000000000000000000e+00,1.670845375722543125e+01,8.922192196531791524e+02,5.763000000000000256e+01,3.091031791907513337e+01,1.222089999999999918e+03
1.700000000000000000e+02,0.000000000000000000e+00,1.508670520231214063e+01,8.578381502890173351e+02,5.522999999999999687e+01,2.662890173410404770e+01,1.177200000000000045e+03
