# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet,Lobith
215,2,5,596.4521429,55.93,0,843.44
216,2,5,592.2279464,53.16,0,838.38
217,2,5,566.5070982,50.68,0,807.57
218,2,5,546.2459821,47.64,0,783.3
219,2,5,527.5459821,44.88,0,760.9
220,2,5,513.7797768,43.43,0,744.41
221,2,5,498.1853125,43.17,0,725.73
222,2,5,495.8561607,42.88,0,722.94
223,2,5,491.1728125,41.55,0,717.33
224,2,5,498.2604464,39.85,0,725.82
225,2,5,494.9462054,38.48,0,721.85
226,2,5,492.7005357,40.46,0,719.16
227,2,5,485.2622768,42.95,0,710.25
228,2,5,489.7285714,41.77,0,715.6
229,2,5,491.4065625,45.8,0,717.61
230,2,5,494.1865179,55.82,0,720.94
231,2,5,511.9264732,59.93,0,742.19
232,2,5,535.1011161,58.7,0,769.95
233,2,5,573.5947321,55.6,0,816.06
234,2,5,607.0126339,51.6,0,856.09
235,2,5,628.20875,49.49,0,881.48
236,2,6.740606936,678.9008671,50.16,0,946.18
237,2,6.501083815,673.8229769,50.55,0,939.55
238,2,5.610187861,654.9359827,49,0,914.89
239,2,5,605.8355357,48.66,0,854.68
240,2,5,583.3454464,48.44,0,827.74
241,2,5,563.5852232,45.8,0,804.07
242,2,5,548.4165179,42.86,0,785.9
243,2,5,537.8810714,40.5,0,773.28
244,2,5,532.9806696,38.83,0,767.41
245,2,5,525.0916071,37.79,0,757.96
246,2,5,521.969375,37.19,0,754.22
247,2,5,519.0391518,36.73,0,750.71
248,2,5,505.4816518,36.14,0,734.47
249,2,5,492.3248661,35.68,0,718.71
250,2,5,482.6158929,35.7,0,707.08
251,2,5,485.6045536,36.2,0,710.66
252,2,5,490.3880804,36.82,0,716.39
253,2,5,493.2765625,38.12,0,719.85
254,2,5,497.3421429,39.19,0,724.72
