# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet,Lobith
239,2,5,605.8355357,48.66,0,854.68
240,2,5,583.3454464,48.44,0,827.74
241,2,5,563.5852232,45.8,0,804.07
242,2,5,548.4165179,42.86,0,785.9
243,2,5,537.8810714,40.5,0,773.28
244,2,5,532.9806696,38.83,0,767.41
245,2,5,525.0916071,37.79,0,757.96
246,2,5,521.969375,37.19,0,754.22
247,2,5,519.0391518,36.73,0,750.71
248,2,5,505.4816518,36.14,0,734.47
249,2,5,492.3248661,35.68,0,718.71
250,2,5,482.6158929,35.7,0,707.08
251,2,5,485.6045536,36.2,0,710.66
252,2,5,490.3880804,36.82,0,716.39
253,2,5,493.2765625,38.12,0,719.85
254,2,5,497.3421429,39.19,0,724.72
255,2,5,506.7672768,40.72,0,736.01
256,2,5,519.398125,40.98,0,751.14
257,2,5,546.1291071,39.97,0,783.16
258,2,5,573.5195982,38.6,0,815.97
259,2,5,590.5666518,38.98,0,836.39
260,2,5,619.4765179,41.43,0,871.02
261,2,5,622.1229018,44.46,0,874.19
262,2,5,622.2230804,46.15,0,874.31
263,2,5,607.5051786,46.03,0,856.68
264,2,5,590.6167411,45.5,0,836.45
265,2,5,579.5553571,44.1,0,823.2
266,2,5,568.9280804,42.28,0,810.47
267,2,5,561.3145089,40.76,0,801.35
268,2,5,551.6472768,39.86,0,789.77
269,2,5,540.5775446,39.45,0,776.51
