# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet
238,2,20,633.9589286,32.45,0
239,2,20,619.8587946,32.05,0
240,2,20,597.2685268,31.79,0
241,2,20,576.0974554,31.32,0
242,2,20,555.9114732,30.82,0
243,2,20,537.8793304,30.42,0
244,2,20,516.5663393,29.93,0
245,2,20,503.1173661,29.28,0
246,2,20,497.2068304,30.33,0
247,2,20,488.9921875,31.42,0
248,2,20,480.9445089,30.95,0
249,2,20,470.3923661,30.48,0
250,2,20,467.4704911,30.14,0
251,2,20,465.09125,30.15,0
252,2,20,463.9892857,29.79,0
253,2,20,464.4150446,29.42,0
254,2,20,465.5754464,29.73,0
255,2,20,473.4227679,32.25,0
256,2,20,482.4388393,35.03,0
257,2,20,482.271875,38.44,0
258,2,20,479.2748661,42.16,0
259,2,20,481.804375,40.44,0
260,2,20,484.7095536,37.68,0
261,2,20,493.4668304,35.31,0
262,2,20,507.2079911,33.8,0
263,2,20,521.4500446,32.97,0
264,2,20,532.1691518,32.51,0
265,2,20,537.3283482,32.06,0
266,2,20,545.3092411,31.66,0
267,2,20,554.5256696,33.1,0
268,2,20,562.915625,34.7,0
