# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet
1.520000000000000000e+02,0.000000000000000000e+00,2.357745664739884361e+01,8.486052023121386583e+02,8.093000000000000682e+01,2.361121387283236217e+01
1.530000000000000000e+02,0.000000000000000000e+00,2.364248554913294598e+01,8.520517341040462043e+02,8.070999999999999375e+01,2.404040462427744984e+01
1.540000000000000000e+02,0.000000000000000000e+00,2.368612716763005821e+01,8.543647398843929750e+02,8.234999999999999432e+01,2.432843930635837282e+01
1.550000000000000000e+02,0.000000000000000000e+00,2.389682080924855612e+01,8.655315028901734422e+02,1.028199999999999932e+02,2.571901734104046966e+01
1.560000000000000000e+02,0.000000000000000000e+00,2.475187861271676226e+01,9.108495664739883750e+02,1.642899999999999920e+02,3.136239884393062738e+01
1.570000000000000000e+02,0.000000000000000000e+00,2.674060693641618514e+01,1.016252167630057784e+03,2.066299999999999955e+02,4.448800578034682474e+01
1.580000000000000000e+02,0.000000000000000000e+00,2.847167630057803223e+01,1.107998843930635758e+03,2.009499999999999886e+02,5.591306358381502406e+01
1.590000000000000000e+02,0.000000000000000000e+00,2.958612716763005679e+01,1.167064739884393020e+03,1.738000000000000114e+02,6.326843930635836699e+01
1.600000000000000000e+02,0.000000000000000000e+00,2.864161849710982466e+01,1.117005780346820757e+03,1.478000000000000114e+02,5.703468208092485270e+01
1.610000000000000000e+02,0.000000000000000000e+00,2.806329479768785973e+01,1.086354624277456651e+03,1.279800000000000040e+02,5.321774566473987989e+01
1.620000000000000000e+02,0.000000000000000000e+00,2.857369942196531554e+01,1.113406069364161795e+03,1.123499999999999943e+02,5.658641618497109249e+01
1.630000000000000000e+02,0.000000000000000000e+00,2.976676300578034784e+01,1.176638439306358123e+03,1.006500000000000057e+02,6.446063583815028153e+01
1.640000000000000000e+02,0.000000000000000000e+00,2.937500000000000000e+01,1.155875000000000000e+03,9.293999999999999773e+01,6.187499999999999289e+01
1.650000000000000000e+02,0.000000000000000000e+00,2.794089595375722723e+01,1.079867485549132880e+03,8.765999999999999659e+01,5.240991329479768268e+01
1.660000000000000000e+02,0.000000000000000000e+00,2.744234104046242706e+01,1.053444075144508588e+03,8.428000000000000114e+01,4.911945086705201646e+01
1.670000000000000000e+02,0.000000000000000000e+00,2.653453757225433662e+01,1.005330491329479855e+03,8.268000000000000682e+01,4.312794797687861603e+01
1.680000000000000000e+02,0.000000000000000000e+00,2.610057803468207993e+01,9.823306358381503287e+02,8.125000000000000000e+01,4.026381502890173891e+01
1.690000000000000000e+02,0.000000000000000000e+00,2.547499999999999787e+01,9.491749999999999545e+02,7.875000000000000000e+01,3.613499999999998380e+01
1.700000000000000000e+02,0.000000000000000000e+00,2.538728323699421807e+01,9.445260115606936324e+02,7.595999999999999375e+01,3.555606936416184283e+01
1.710000000000000000e+02,0.000000000000000000e+00,2.476950867052023142e+01,9.117839595375721728e+02,7.290000000000000568e+01,3.147875722543351884e+01
1.720000000000000000e+02,0.000000000000000000e+00,2.398078034682080784e+01,8.699813583815029006e+02,6.990999999999999659e+01,2.627315028901734095e+01
1.730000000000000000e+02,0.000000000000000000e+00,2.322023121387283240e+01,8.296722543352600496e+02,6.725000000000000000e+01,2.125352601156068388e+01
1.740000000000000000e+02,2.000000000000000000e+00,2.262283236994219493e+01,7.960101156069364379e+02,6.440999999999999659e+01,1.731069364161849577e+01
1.750000000000000000e+02,2.000000000000000000e+00,2.211213872832369987e+01,7.689433526011561071e+02,6.150999999999999801e+01,0.000000000000000000e+00
1.760000000000000000e+02,2.000000000000000000e+00,2.161921965317919003e+01,7.428186416184970540e+02,5.892000000000000171e+01,0.000000000000000000e+00
1.770000000000000000e+02,2.000000000000000000e+00,2.131864161849711081e+01,7.268880057803468162e+02,5.670000000000000284e+01,0.000000000000000000e+00
1.780000000000000000e+02,2.000000000000000000e+00,2.087153179190751473e+01,7.031911849710982096e+02,5.511999999999999744e+01,0.000000000000000000e+00
1.790000000000000000e+02,2.000000000000000000e+00,2.055433526011560730e+01,6.863797687861272152e+02,5.404999999999999716e+01,0.000000000000000000e+00
1.800000000000000000e+02,2.000000000000000000e+00,2.026488439306358558e+01,6.710388728323699752e+02,5.285999999999999943e+01,0.000000000000000000e+00
1.810000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+01,6.500542857142856974e+02,5.153000000000000114e+01,0.000000000000000000e+00
1.820000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+01,6.229225892857142526e+02,5.027000000000000313e+01,0.000000000000000000e+00
1.830000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+01,6.029954017857141935e+02,4.907999999999999829e+01,0.000000000000000000e+00
1.840000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+01,5.878600892857142526e+02,4.792000000000000171e+01,0.000000000000000000e+00
1.850000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+01,5.737933482142857429e+02,4.717000000000000171e+01,0.000000000000000000e+00
1.860000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+01,5.725411160714286325e+02,4.703999999999999915e+01,0.000000000000000000e+00
1.870000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+01,5.781845089285714039e+02,4.721999999999999886e+01,0.000000000000000000e+00
1.880000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+01,5.870002232142857110e+02,4.696999999999999886e+01,0.000000000000000000e+00
1.890000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+01,5.908153571428572377e+02,4.621999999999999886e+01,0.000000000000000000e+00
1.900000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+01,5.846710714285713948e+02,4.542999999999999972e+01,0.000000000000000000e+00
1.910000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+01,5.709549553571428078e+02,4.485000000000000142e+01,0.000000000000000000e+00
1.920000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+01,5.547844642857141935e+02,4.431000000000000227e+01,0.000000000000000000e+00
1.930000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+01,5.401166517857143390e+02,4.368999999999999773e+01,0.000000000000000000e+00
1.940000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+01,5.228692410714286325e+02,4.307000000000000028e+01,0.000000000000000000e+00
1.950000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+01,5.104470982142858020e+02,4.246999999999999886e+01,0.000000000000000000e+00
1.960000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+01,5.011638839285715221e+02,4.192999999999999972e+01,0.000000000000000000e+00
