# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet
215,2,20,572.2155357,52.96,0
216,2,20,555.5024107,50.49,0
217,2,20,550.4934821,48.77,0
218,2,20,542.3205804,47.44,0
219,2,20,530.4828125,45.5,0
220,2,20,499.9867857,43.51,0
221,2,20,482.2301339,41.8,0
222,2,20,468.4388839,40.4,0
223,2,20,465.4669196,39.27,0
224,2,20,459.1807143,38.41,0
225,2,20,457.8533482,38.44,0
226,2,20,446.8670982,38.49,0
227,2,20,434.0859821,38.21,0
228,2,20,426.873125,37.7,0
229,2,20,415.5195536,36.95,0
230,2,20,406.6954911,36.15,0
231,2,20,396.0765625,35.46,0
232,2,20,388.3210714,34.84,0
233,2,20,383.9299107,34.35,0
234,2,20,377.8774554,34.05,0
235,2,20,376.6335714,33.84,0
236,2,20,380.0897321,33.63,0
237,2,20,383.2537054,33.42,0
238,2,20,385.0736161,33.2,0
239,2,20,386.4427232,33,0
240,2,20,386.5429018,32.88,0
241,2,20,385.9167857,32.78,0
242,2,20,380.7993304,32.65,0
243,2,20,379.7140625,32.58,0
244,2,20,380.4069643,32.53,0
245,2,20,374.7969643,32.5,0
246,2,20,370.4225,32.49,0
247,2,20,366.4153571,32.5,0
248,2,20,369.4374107,32.51,0
249,2,20,372.4761607,32.58,0
250,2,20,374.3712054,32.78,0
251,2,20,376.1577232,33.07,0
252,2,20,377.0593304,33.12,0
253,2,20,376.3413839,33.01,0
254,2,20,375.4648214,32.86,0
