# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet
1.520000000000000000e+02,0.000000000000000000e+00,2.809364161849710939e+01,1.087963005780346748e+03,6.840999999999999659e+01,5.341803468208091488e+01
1.530000000000000000e+02,0.000000000000000000e+00,3.552891089108906897e+01,1.196160613861386082e+03,7.035999999999999943e+01,7.201437623762370777e+01
1.540000000000000000e+02,0.000000000000000000e+00,5.193702970297028543e+01,1.217411128712871232e+03,7.512999999999999545e+01,8.986320792079206399e+01
1.550000000000000000e+02,0.000000000000000000e+00,5.170970297029703744e+01,1.217116712871287064e+03,8.417000000000000171e+01,8.961592079207920847e+01
1.560000000000000000e+02,0.000000000000000000e+00,3.857346534653461134e+01,1.200103683168316820e+03,8.692000000000000171e+01,7.532625742574252570e+01
1.570000000000000000e+02,0.000000000000000000e+00,2.877124277456647405e+01,1.123875867052023068e+03,8.614000000000000057e+01,5.789020231213872592e+01
1.580000000000000000e+02,0.000000000000000000e+00,2.777774566473988571e+01,1.071220520231213868e+03,8.551999999999999602e+01,5.133312138728323504e+01
1.590000000000000000e+02,0.000000000000000000e+00,2.664797687861271669e+01,1.011342774566473963e+03,8.490999999999999659e+01,4.387664739884392162e+01
1.600000000000000000e+02,0.000000000000000000e+00,2.616473988439306098e+01,9.857312138728323134e+02,8.275000000000000000e+01,4.068728323699421168e+01
1.610000000000000000e+02,0.000000000000000000e+00,2.559971098265895861e+01,9.557846820809247674e+02,7.846999999999999886e+01,3.695809248554913040e+01
1.620000000000000000e+02,0.000000000000000000e+00,2.527875722543352666e+01,9.387741329479767955e+02,7.779999999999999716e+01,3.483979768786126385e+01
1.630000000000000000e+02,0.000000000000000000e+00,2.505924855491329239e+01,9.271401734104044863e+02,7.664000000000000057e+01,3.339104046242773194e+01
1.640000000000000000e+02,0.000000000000000000e+00,2.503482658959537588e+01,9.258458092485550424e+02,7.251999999999999602e+01,3.322985549132948790e+01
1.650000000000000000e+02,0.000000000000000000e+00,2.453135838150289061e+01,8.991619942196531383e+02,6.998000000000000398e+01,2.990696531791906665e+01
1.660000000000000000e+02,0.000000000000000000e+00,2.416618497109826436e+01,8.798078034682080215e+02,6.682999999999999829e+01,2.749682080924855043e+01
1.670000000000000000e+02,0.000000000000000000e+00,2.395375722543352381e+01,8.685491329479767728e+02,6.378999999999999915e+01,2.609479768786126286e+01
1.680000000000000000e+02,0.000000000000000000e+00,2.389927745664739689e+01,8.656617052023120777e+02,6.171999999999999886e+01,2.573523121387282231e+01
1.690000000000000000e+02,0.000000000000000000e+00,2.403786127167630227e+01,8.730066473988439384e+02,6.007000000000000028e+01,2.664988439306359069e+01
1.700000000000000000e+02,0.000000000000000000e+00,2.456546242774566480e+01,9.009695086705203266e+02,5.852000000000000313e+01,3.013205202312139264e+01
1.710000000000000000e+02,0.000000000000000000e+00,2.538381502890173280e+01,9.443421965317918421e+02,5.721999999999999886e+01,3.553317919075144005e+01
1.720000000000000000e+02,0.000000000000000000e+00,2.549913294797687868e+01,9.504540462427744387e+02,5.584000000000000341e+01,3.629427745664739291e+01
1.730000000000000000e+02,0.000000000000000000e+00,2.601127167630057713e+01,9.775973988439307050e+02,5.421999999999999886e+01,3.967439306358381401e+01
1.740000000000000000e+02,0.000000000000000000e+00,2.654552023121387450e+01,1.005912572254335373e+03,5.247999999999999687e+01,4.320043352601156528e+01
1.750000000000000000e+02,0.000000000000000000e+00,2.608439306358381415e+01,9.814728323699421253e+02,5.084000000000000341e+01,4.015699421965317129e+01
1.760000000000000000e+02,0.000000000000000000e+00,2.628612716763005608e+01,9.921647398843929295e+02,4.935999999999999943e+01,4.148843930635838007e+01
1.770000000000000000e+02,0.000000000000000000e+00,2.586734104046242777e+01,9.699690751445086789e+02,4.797999999999999687e+01,3.872445086705202044e+01
1.780000000000000000e+02,0.000000000000000000e+00,2.562774566473988358e+01,9.572705202312138226e+02,4.672999999999999687e+01,3.714312138728323731e+01
1.790000000000000000e+02,0.000000000000000000e+00,2.526791907514450841e+01,9.381997109826588712e+02,4.563000000000000256e+01,3.476826589595375339e+01
1.800000000000000000e+02,0.000000000000000000e+00,2.479609826589595656e+01,9.131932080924856336e+02,4.489000000000000057e+01,3.165424855491330192e+01
1.810000000000000000e+02,0.000000000000000000e+00,2.468179190751445162e+01,9.071349710982658507e+02,4.453000000000000114e+01,3.089982658959537432e+01
1.820000000000000000e+02,0.000000000000000000e+00,2.400765895953757223e+01,8.714059248554913211e+02,4.421999999999999886e+01,2.645054913294796961e+01
1.830000000000000000e+02,0.000000000000000000e+00,2.329580924855491375e+01,8.336778901734103329e+02,4.359000000000000341e+01,2.175234104046241868e+01
1.840000000000000000e+02,2.000000000000000000e+00,2.271994219653179314e+01,8.011569364161849762e+02,4.271999999999999886e+01,1.795161849710982693e+01
1.850000000000000000e+02,2.000000000000000000e+00,2.234205202312138638e+01,7.811287572254334464e+02,4.188000000000000256e+01,0.000000000000000000e+00
1.860000000000000000e+02,2.000000000000000000e+00,2.223699421965317669e+01,7.755606936416183999e+02,4.190999999999999659e+01,0.000000000000000000e+00
1.870000000000000000e+02,2.000000000000000000e+00,2.274104046242774757e+01,8.022751445086705644e+02,4.304999999999999716e+01,0.000000000000000000e+00
1.880000000000000000e+02,2.000000000000000000e+00,2.339291907514450841e+01,8.368247109826588712e+02,4.432000000000000028e+01,2.239326589595375339e+01
1.890000000000000000e+02,2.000000000000000000e+00,2.374653179190751473e+01,8.555661849710982096e+02,5.599000000000000199e+01,2.472710982658959367e+01
1.900000000000000000e+02,2.000000000000000000e+00,2.411806358381502946e+01,8.752573699421965330e+02,6.418999999999999773e+01,2.717921965317919231e+01
1.910000000000000000e+02,2.000000000000000000e+00,2.494855491329479946e+01,9.192734104046243147e+02,5.724000000000000199e+01,3.266046242774567077e+01
1.920000000000000000e+02,2.000000000000000000e+00,2.476965317919075105e+01,9.097916184971097664e+02,5.235999999999999943e+01,3.147971098265895407e+01
1.930000000000000000e+02,2.000000000000000000e+00,2.415838150289017250e+01,8.773942196531791069e+02,5.185999999999999943e+01,2.744531791907514062e+01
1.940000000000000000e+02,2.000000000000000000e+00,2.386763005780347058e+01,8.619843930635838660e+02,5.321999999999999886e+01,2.552635838150289871e+01
1.950000000000000000e+02,2.000000000000000000e+00,2.363670520231213956e+01,8.497453757225433719e+02,5.315999999999999659e+01,2.400225433526012253e+01
