# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet
1.520000000000000000e+02,0.000000000000000000e+00,5.775563357989374147e+00,1.103804513691319244e+03,4.952944445987413502e+01,5.969541682223013623e+01
1.530000000000000000e+02,0.000000000000000000e+00,2.422307426898013538e-01,1.082590000222810886e+03,3.962180514517059038e+01,5.198402687983962522e+01
1.540000000000000000e+02,0.000000000000000000e+00,9.072254612527084205e+00,1.102642605835097129e+03,2.891895916508121900e+01,5.455736061131569414e+01
1.550000000000000000e+02,0.000000000000000000e+00,7.620069535290301843e+00,1.113716528171651589e+03,7.151006969789806078e+01,5.428402737236259412e+01
1.560000000000000000e+02,0.000000000000000000e+00,1.752569325601853745e+00,1.141899237590322628e+03,5.962701396257048714e+01,5.945652733196415340e+01
1.570000000000000000e+02,0.000000000000000000e+00,3.834791943532612546e+00,1.210987156909760415e+03,4.685930410786470190e+01,4.810583297144004433e+01
1.580000000000000000e+02,0.000000000000000000e+00,1.604451519252276270e+01,1.311282991139355545e+03,4.967826566352300688e+01,5.130389170910947172e+01
1.590000000000000000e+02,0.000000000000000000e+00,1.105227848824826680e+02,1.392100286074944279e+03,3.868291399157064347e+01,2.117662642747350219e+02
1.600000000000000000e+02,0.000000000000000000e+00,1.302713841610717509e+02,1.401384235351271855e+03,6.159694722716645998e+01,2.685429978636195756e+02
1.610000000000000000e+02,0.000000000000000000e+00,8.070694324393473096e+01,1.374476803385877702e+03,6.117159701414377082e+01,2.640433322036450363e+02
1.620000000000000000e+02,0.000000000000000000e+00,4.044399509064530207e+01,1.356268332435122829e+03,4.986687581881650999e+01,1.889961695204833916e+02
1.630000000000000000e+02,0.000000000000000000e+00,2.144180496625180155e+01,1.341219790368400481e+03,5.867374635421427342e+01,1.449466661596127608e+02
1.640000000000000000e+02,0.000000000000000000e+00,1.128090157048574405e+01,1.318285686501521923e+03,3.912979169314538552e+01,1.242007557375917912e+02
1.650000000000000000e+02,0.000000000000000000e+00,-2.483738514920721396e+00,1.275033120093786692e+03,4.551875082052317367e+01,7.980353695535146130e+01
