# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet
2.39E+02,0.00E+00,2.03E+01,1.10E+03,5.99E+01,5.38E+01
2.40E+02,0.00E+00,1.31E+01,1.07E+03,6.25E+01,5.44E+01
2.41E+02,0.00E+00,1.33E+01,1.07E+03,3.64E+01,4.81E+01
2.42E+02,0.00E+00,1.72E+01,1.07E+03,3.93E+01,4.81E+01
2.43E+02,0.00E+00,1.78E+01,1.05E+03,4.61E+01,5.60E+01
2.44E+02,0.00E+00,5.00E+00,1.02E+03,6.14E+01,5.63E+01
2.45E+02,0.00E+00,1.88E+01,9.98E+02,6.08E+01,5.58E+01
2.46E+02,0.00E+00,8.98E+00,9.73E+02,6.40E+01,5.54E+01
2.47E+02,0.00E+00,4.80E+00,9.81E+02,4.33E+01,5.38E+01
2.48E+02,0.00E+00,1.33E+01,1.01E+03,4.09E+01,5.03E+01
