# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet
1.520000000000000000e+02,0.000000000000000000e+00,2.286676300578034926e+01,8.109384393063584184e+02,5.457000000000000028e+01,0.000000000000000000e+00
1.530000000000000000e+02,0.000000000000000000e+00,2.277182080924855256e+01,8.059065028901733285e+02,5.392999999999999972e+01,0.000000000000000000e+00
1.540000000000000000e+02,0.000000000000000000e+00,2.269176300578034500e+01,8.016634393063583275e+02,5.335000000000000142e+01,0.000000000000000000e+00
1.550000000000000000e+02,0.000000000000000000e+00,2.242384393063584014e+01,7.874637283236994563e+02,5.284000000000000341e+01,0.000000000000000000e+00
1.560000000000000000e+02,0.000000000000000000e+00,2.222601156069364237e+01,7.769786127167629957e+02,5.271999999999999886e+01,0.000000000000000000e+00
1.570000000000000000e+02,0.000000000000000000e+00,2.206835260115607156e+01,7.686226878612717428e+02,5.278999999999999915e+01,0.000000000000000000e+00
1.580000000000000000e+02,2.000000000000000000e+00,2.198309248554913253e+01,7.621039017341040562e+02,5.464999999999999858e+01,0.000000000000000000e+00
1.590000000000000000e+02,2.000000000000000000e+00,2.207008670520231064e+01,7.667145953757225243e+02,5.653999999999999915e+01,0.000000000000000000e+00
1.600000000000000000e+02,2.000000000000000000e+00,2.215534682080924966e+01,7.712333815028902109e+02,5.652000000000000313e+01,0.000000000000000000e+00
1.610000000000000000e+02,2.000000000000000000e+00,2.223786127167629800e+01,7.756066473988438474e+02,5.557999999999999829e+01,0.000000000000000000e+00
1.620000000000000000e+02,2.000000000000000000e+00,2.257875722543352737e+01,7.936741329479768865e+02,5.410000000000000142e+01,0.000000000000000000e+00
1.630000000000000000e+02,2.000000000000000000e+00,2.354754335260115639e+01,8.450197976878612280e+02,5.270000000000000284e+01,2.341378612716762930e+01
1.640000000000000000e+02,2.000000000000000000e+00,2.465838150289017250e+01,9.038942196531791069e+02,5.482000000000000028e+01,3.074531791907513423e+01
1.650000000000000000e+02,2.000000000000000000e+00,2.525722543352600979e+01,9.356329479768785404e+02,5.635000000000000142e+01,3.469768786127166749e+01
1.660000000000000000e+02,2.000000000000000000e+00,2.612774566473988358e+01,9.817705202312138226e+02,5.410000000000000142e+01,4.044312138728323447e+01
1.670000000000000000e+02,2.000000000000000000e+00,2.668771676300578122e+01,1.011448988439306277e+03,5.203999999999999915e+01,4.413893063583814325e+01
1.680000000000000000e+02,2.000000000000000000e+00,2.641604046242774473e+01,9.970501445086706553e+02,5.088000000000000256e+01,4.234586705202311663e+01
1.690000000000000000e+02,0.000000000000000000e+00,2.564537572254335274e+01,9.582049132947977341e+02,4.985000000000000142e+01,3.725947976878613588e+01
1.700000000000000000e+02,0.000000000000000000e+00,2.520606936416184851e+01,9.349216763005780422e+02,4.863000000000000256e+01,3.436005780346820160e+01
1.710000000000000000e+02,0.000000000000000000e+00,2.458497109826589622e+01,9.020034682080924995e+02,4.850999999999999801e+01,3.026080924855491006e+01
1.720000000000000000e+02,0.000000000000000000e+00,2.431112716763005466e+01,8.874897398843929750e+02,4.921999999999999886e+01,2.845343930635837282e+01
1.730000000000000000e+02,0.000000000000000000e+00,2.416965317919074963e+01,8.799916184971098119e+02,4.935999999999999943e+01,2.751971098265895321e+01
