# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet,Lobith
2.130000000000000000e+02,0.000000000000000000e+00,1.260007225433525591e+01,8.051215317919073868e+02,6.415999999999999659e+01,2.006419075144507502e+01,1.108369999999999891e+03
2.140000000000000000e+02,0.000000000000000000e+00,1.301119942196531909e+01,8.138374277456647405e+02,6.448999999999999488e+01,2.114956647398843970e+01,1.119750000000000000e+03
2.150000000000000000e+02,0.000000000000000000e+00,1.512825144508670228e+01,8.587189306358380918e+02,6.153999999999999915e+01,2.673858381502889259e+01,1.178349999999999909e+03
2.160000000000000000e+02,0.000000000000000000e+00,1.480166184971098176e+01,8.517952312138727393e+02,5.710999999999999943e+01,2.587638728323698700e+01,1.169309999999999945e+03
2.170000000000000000e+02,0.000000000000000000e+00,1.261018786127167957e+01,8.053359826589596651e+02,5.340999999999999659e+01,2.009089595375723292e+01,1.108650000000000091e+03
2.180000000000000000e+02,0.000000000000000000e+00,1.097723988439306453e+01,7.707174855491330163e+02,5.015999999999999659e+01,1.577991329479769078e+01,1.063450000000000045e+03
2.190000000000000000e+02,2.000000000000000000e+00,9.121387283236995103e+00,7.293734104046243374e+02,4.671000000000000085e+01,0.000000000000000000e+00,1.012080000000000041e+03
2.200000000000000000e+02,2.000000000000000000e+00,6.393424855491331549e+00,6.715406069364162249e+02,4.414000000000000057e+01,0.000000000000000000e+00,9.365700000000000500e+02
2.210000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,6.304043303571429533e+02,4.225000000000000000e+01,0.000000000000000000e+00,8.841100000000000136e+02
2.220000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,6.076220535714286370e+02,4.085000000000000142e+01,0.000000000000000000e+00,8.568200000000000500e+02
2.230000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.839381696428572468e+02,3.960999999999999943e+01,0.000000000000000000e+00,8.284500000000000455e+02
2.240000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.676675000000000182e+02,3.850000000000000000e+01,0.000000000000000000e+00,8.089600000000000364e+02
2.250000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.475816964285713766e+02,3.738000000000000256e+01,0.000000000000000000e+00,7.848999999999999773e+02
2.260000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.398929910714286962e+02,3.636999999999999744e+01,0.000000000000000000e+00,7.756900000000000546e+02
2.270000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.296163392857142753e+02,3.579999999999999716e+01,0.000000000000000000e+00,7.633799999999999955e+02
2.280000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.211345535714285688e+02,3.565999999999999659e+01,0.000000000000000000e+00,7.532200000000000273e+02
2.290000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.182460714285714403e+02,3.564000000000000057e+01,0.000000000000000000e+00,7.497599999999999909e+02
2.300000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.107159821428572286e+02,3.592000000000000171e+01,0.000000000000000000e+00,7.407400000000000091e+02
2.310000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.054232142857142662e+02,3.725999999999999801e+01,0.000000000000000000e+00,7.343999999999999773e+02
2.320000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.969247321428572377e+02,3.717000000000000171e+01,0.000000000000000000e+00,7.242200000000000273e+02
2.330000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.917655357142857611e+02,3.689000000000000057e+01,0.000000000000000000e+00,7.180399999999999636e+02
2.340000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.884512946428571922e+02,3.664000000000000057e+01,0.000000000000000000e+00,7.140700000000000500e+02
2.350000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.830416517857142935e+02,3.617000000000000171e+01,0.000000000000000000e+00,7.075900000000000318e+02
2.360000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.844191071428572286e+02,3.567000000000000171e+01,0.000000000000000000e+00,7.092400000000000091e+02
2.370000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.925836607142857702e+02,3.511999999999999744e+01,0.000000000000000000e+00,7.190199999999999818e+02
2.380000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.009151785714285552e+02,3.500000000000000000e+01,0.000000000000000000e+00,7.290000000000000000e+02
2.390000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.043129017857143026e+02,3.563000000000000256e+01,0.000000000000000000e+00,7.330700000000000500e+02
2.400000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.070177232142856383e+02,3.670000000000000284e+01,0.000000000000000000e+00,7.363099999999999454e+02
2.410000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.116593303571428351e+02,3.738000000000000256e+01,0.000000000000000000e+00,7.418700000000000045e+02
2.420000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.274374553571428805e+02,5.332000000000000028e+01,0.000000000000000000e+00,7.607699999999999818e+02
2.430000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,6.209708482142857520e+02,7.314000000000000057e+01,0.000000000000000000e+00,8.728099999999999454e+02
