# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet,Lobith
2.340000000000000000e+02,0.000000000000000000e+00,1.613475433526011926e+01,8.800567919075144800e+02,5.032999999999999829e+01,2.939575144508670590e+01,1.206210000000000036e+03
2.350000000000000000e+02,0.000000000000000000e+00,1.642232658959537872e+01,8.861533236994220033e+02,5.345000000000000284e+01,3.015494219653179542e+01,1.214170000000000073e+03
2.360000000000000000e+02,0.000000000000000000e+00,1.747254335260115710e+01,9.084179190751444821e+02,5.779999999999999716e+01,3.292751445086705075e+01,1.243240000000000009e+03
2.370000000000000000e+02,0.000000000000000000e+00,1.905960982658960035e+01,9.420637283236994790e+02,5.772999999999999687e+01,3.711736994219653951e+01,1.287170000000000073e+03
2.380000000000000000e+02,0.000000000000000000e+00,2.040354046242774189e+01,9.705550578034681166e+02,5.346000000000000085e+01,4.066534682080923346e+01,1.324369999999999891e+03
2.390000000000000000e+02,0.000000000000000000e+00,2.121531791907514375e+01,9.877647398843930659e+02,4.929999999999999716e+01,4.280843930635837324e+01,1.346839999999999918e+03
2.400000000000000000e+02,0.000000000000000000e+00,2.147796242774566267e+01,9.933328034682081125e+02,4.636999999999999744e+01,4.350182080924854233e+01,1.354109999999999900e+03
2.410000000000000000e+02,0.000000000000000000e+00,2.066221098265896217e+01,9.760388728323698615e+02,4.428999999999999915e+01,4.134823699421964704e+01,1.331529999999999973e+03
2.420000000000000000e+02,0.000000000000000000e+00,1.930419075144509122e+01,9.472488439306357577e+02,4.334000000000000341e+01,3.776306358381503259e+01,1.293940000000000055e+03
2.430000000000000000e+02,0.000000000000000000e+00,1.895267341040462838e+01,9.397966763005779285e+02,4.397999999999999687e+01,3.683505780346821012e+01,1.284210000000000036e+03
