# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet
1.520000000000000000e+02,0.000000000000000000e+00,2.893800578034682047e+01,1.132714306358381464e+03,7.462999999999999545e+01,5.899083815028901512e+01
1.530000000000000000e+02,0.000000000000000000e+00,2.888179190751444736e+01,1.129734971098265760e+03,7.340000000000000568e+01,5.861982658959536252e+01
1.540000000000000000e+02,0.000000000000000000e+00,2.797080924855491091e+01,1.081452890173410196e+03,7.162999999999999545e+01,5.260734104046241555e+01
1.550000000000000000e+02,0.000000000000000000e+00,2.719841040462427983e+01,1.040515751445086835e+03,6.976000000000000512e+01,4.750950867052024051e+01
1.560000000000000000e+02,0.000000000000000000e+00,2.675664739884393128e+01,1.017102312138728394e+03,7.326999999999999602e+01,4.459387283236993227e+01
1.570000000000000000e+02,0.000000000000000000e+00,2.669725433526011571e+01,1.013954479768786086e+03,8.615999999999999659e+01,4.420187861271676155e+01
1.580000000000000000e+02,0.000000000000000000e+00,2.607023121387283027e+01,9.807222543352600042e+02,1.037900000000000063e+02,4.006352601156068260e+01
1.590000000000000000e+02,0.000000000000000000e+00,2.540780346820809399e+01,9.456135838150289601e+02,1.174200000000000017e+02,3.569150289017341038e+01
1.600000000000000000e+02,0.000000000000000000e+00,2.494291907514450912e+01,9.209747109826589622e+02,1.199000000000000057e+02,3.262326589595375026e+01
1.610000000000000000e+02,0.000000000000000000e+00,2.507731213872832399e+01,9.280975433526010647e+02,1.174099999999999966e+02,3.351026011560692552e+01
1.620000000000000000e+02,0.000000000000000000e+00,2.492471098265895790e+01,9.200096820809249039e+02,1.096400000000000006e+02,3.250309248554912500e+01
1.630000000000000000e+02,0.000000000000000000e+00,2.474248554913295095e+01,9.103517341040462725e+02,9.904999999999999716e+01,3.130040462427746206e+01
1.640000000000000000e+02,0.000000000000000000e+00,2.474291907514450983e+01,9.103747109826589394e+02,9.326000000000000512e+01,3.130326589595375708e+01
1.650000000000000000e+02,0.000000000000000000e+00,2.474089595375722439e+01,9.102674855491328572e+02,9.043000000000000682e+01,3.128991329479767813e+01
1.660000000000000000e+02,0.000000000000000000e+00,2.472239884393063392e+01,9.092871387283237254e+02,9.246999999999999886e+01,3.116783236994218953e+01
1.670000000000000000e+02,0.000000000000000000e+00,2.487991329479768865e+01,9.176354046242774984e+02,9.784999999999999432e+01,3.220742774566474509e+01
1.680000000000000000e+02,0.000000000000000000e+00,2.515274566473988216e+01,9.320955202312138681e+02,1.045199999999999960e+02,3.400812138728323220e+01
1.690000000000000000e+02,0.000000000000000000e+00,2.607037572254335345e+01,9.807299132947975977e+02,1.090900000000000034e+02,4.006447976878612138e+01
1.700000000000000000e+02,0.000000000000000000e+00,2.676647398843930503e+01,1.017623121387283163e+03,1.110100000000000051e+02,4.465872832369942103e+01
1.710000000000000000e+02,0.000000000000000000e+00,2.667557803468208277e+01,1.012805635838150238e+03,1.099399999999999977e+02,4.405881502890173351e+01
1.720000000000000000e+02,0.000000000000000000e+00,2.780216763005780578e+01,1.072514884393063767e+03,1.055000000000000000e+02,5.149430635838150749e+01
