# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet,Lobith
2.130000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,5.509591517857143117e+02,4.290999999999999659e+01,0.000000000000000000e+00,7.865499999999999545e+02
2.140000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,5.319669642857143117e+02,4.240999999999999659e+01,0.000000000000000000e+00,7.637999999999999545e+02
2.150000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,5.209389732142857383e+02,4.245000000000000284e+01,0.000000000000000000e+00,7.505900000000000318e+02
2.160000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,5.082246428571428396e+02,4.325000000000000000e+01,0.000000000000000000e+00,7.353600000000000136e+02
2.170000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,4.933648214285714175e+02,4.357999999999999829e+01,0.000000000000000000e+00,7.175599999999999454e+02
2.180000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,4.749152678571429078e+02,4.300999999999999801e+01,0.000000000000000000e+00,6.954600000000000364e+02
2.190000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.656773660714285370e+02,4.207000000000000028e+01,0.000000000000000000e+00,6.867899999999999636e+02
2.200000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.511431250000000546e+02,4.214999999999999858e+01,0.000000000000000000e+00,6.693799999999999955e+02
2.210000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.513267857142857338e+02,4.139999999999999858e+01,0.000000000000000000e+00,6.696000000000000227e+02
2.220000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.440220982142857338e+02,4.050999999999999801e+01,0.000000000000000000e+00,6.608500000000000227e+02
2.230000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.382952232142856701e+02,4.109000000000000341e+01,0.000000000000000000e+00,6.539900000000000091e+02
2.240000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.294377678571428305e+02,5.297999999999999687e+01,0.000000000000000000e+00,6.433799999999999955e+02
2.250000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.336870089285714585e+02,9.732999999999999829e+01,0.000000000000000000e+00,6.484700000000000273e+02
2.260000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.406243749999999864e+02,1.093499999999999943e+02,0.000000000000000000e+00,6.567799999999999727e+02
2.270000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.543989285714285415e+02,9.690999999999999659e+01,0.000000000000000000e+00,6.732799999999999727e+02
2.280000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.741090624999999363e+02,8.529999999999999716e+01,0.000000000000000000e+00,6.968899999999999864e+02
2.290000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.874829017857142617e+02,7.557999999999999829e+01,0.000000000000000000e+00,7.129099999999999682e+02
2.300000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.068006696428570876e+02,6.675000000000000000e+01,0.000000000000000000e+00,7.360499999999999545e+02
2.310000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.324296875000000000e+02,6.056000000000000227e+01,0.000000000000000000e+00,7.667500000000000000e+02
2.320000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.691868749999999864e+02,5.692000000000000171e+01,0.000000000000000000e+00,8.107799999999999727e+02
2.330000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,6.091998660714286871e+02,5.435999999999999943e+01,0.000000000000000000e+00,8.587100000000000364e+02
2.340000000000000000e+02,2.000000000000000000e+00,5.728684971098264356e+00,6.574481213872832086e+02,5.199000000000000199e+01,0.000000000000000000e+00,9.181699999999999591e+02
2.350000000000000000e+02,2.000000000000000000e+00,5.600794797687861148e+00,6.547368497109827103e+02,4.975999999999999801e+01,0.000000000000000000e+00,9.146299999999999955e+02
2.360000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,6.168301339285715130e+02,4.796000000000000085e+01,0.000000000000000000e+00,8.678500000000000227e+02
2.370000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,6.087824553571429078e+02,4.645000000000000284e+01,0.000000000000000000e+00,8.582100000000000364e+02
2.380000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,6.012106249999999363e+02,4.547999999999999687e+01,0.000000000000000000e+00,8.491399999999999864e+02
2.390000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.989733035714286871e+02,4.552000000000000313e+01,0.000000000000000000e+00,8.464600000000000364e+02
2.400000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,6.058605803571429078e+02,5.909000000000000341e+01,0.000000000000000000e+00,8.547100000000000364e+02
2.410000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,6.312057589285714130e+02,7.846999999999999886e+01,0.000000000000000000e+00,8.850700000000000500e+02
2.420000000000000000e+02,2.000000000000000000e+00,6.823338150289018245e+00,6.806547687861271925e+02,7.001999999999999602e+01,0.000000000000000000e+00,9.484700000000000273e+02
2.430000000000000000e+02,2.000000000000000000e+00,9.555635838150285721e+00,7.385794797687860864e+02,6.097999999999999687e+01,0.000000000000000000e+00,1.024099999999999909e+03
2.440000000000000000e+02,2.000000000000000000e+00,1.084429190751444949e+01,7.658989884393063221e+02,5.446000000000000085e+01,0.000000000000000000e+00,1.059769999999999982e+03
2.450000000000000000e+02,2.000000000000000000e+00,1.045592485549132888e+01,7.576656069364162249e+02,5.038000000000000256e+01,0.000000000000000000e+00,1.049019999999999982e+03
2.460000000000000000e+02,2.000000000000000000e+00,9.432080924855490878e+00,7.359601156069363697e+02,4.759000000000000341e+01,0.000000000000000000e+00,1.020679999999999950e+03
2.470000000000000000e+02,2.000000000000000000e+00,8.398843930635839783e+00,7.140554913294797643e+02,4.549000000000000199e+01,0.000000000000000000e+00,9.920800000000000409e+02
2.480000000000000000e+02,2.000000000000000000e+00,7.382225433526013347e+00,6.925031791907514389e+02,4.371999999999999886e+01,0.000000000000000000e+00,9.639400000000000546e+02
2.490000000000000000e+02,2.000000000000000000e+00,6.476517341040462838e+00,6.733021676300578520e+02,4.210000000000000142e+01,0.000000000000000000e+00,9.388700000000000045e+02
2.500000000000000000e+02,2.000000000000000000e+00,5.608381502890174453e+00,6.548976878612717201e+02,4.071000000000000085e+01,0.000000000000000000e+00,9.148400000000000318e+02
2.510000000000000000e+02,2.000000000000000000e+00,5.144869942196531376e+00,6.450712427745664854e+02,3.996999999999999886e+01,0.000000000000000000e+00,9.020099999999999909e+02
2.520000000000000000e+02,2.000000000000000000e+00,5.722543352601156208e+00,6.573179190751444594e+02,4.046000000000000085e+01,0.000000000000000000e+00,9.180000000000000000e+02
2.530000000000000000e+02,2.000000000000000000e+00,6.973627167630057855e+00,6.838408959537572400e+02,4.092000000000000171e+01,0.000000000000000000e+00,9.526299999999999955e+02
2.540000000000000000e+02,2.000000000000000000e+00,7.669075144508671116e+00,6.985843930635837751e+02,4.372999999999999687e+01,0.000000000000000000e+00,9.718799999999999955e+02
2.550000000000000000e+02,2.000000000000000000e+00,8.619942196531793499e+00,7.187427745664740542e+02,5.150000000000000000e+01,0.000000000000000000e+00,9.982000000000000455e+02
2.560000000000000000e+02,2.000000000000000000e+00,9.794436416184971961e+00,7.436420520231214368e+02,5.663000000000000256e+01,0.000000000000000000e+00,1.030710000000000036e+03
2.570000000000000000e+02,2.000000000000000000e+00,1.133489884393063285e+01,7.762998554913293674e+02,5.785000000000000142e+01,0.000000000000000000e+00,1.073349999999999909e+03
2.580000000000000000e+02,2.000000000000000000e+00,1.164234104046242457e+01,7.828176300578033988e+02,5.742000000000000171e+01,0.000000000000000000e+00,1.081859999999999900e+03
