# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet,Lobith
1.520000000000000000e+02,0.000000000000000000e+00,1.985302970297030072e+02,1.392267287128712951e+03,1.155699999999999932e+02,2.493280792079208368e+02,2.005160000000000082e+03
1.530000000000000000e+02,0.000000000000000000e+00,1.870746534653465574e+02,1.377430831683168435e+03,9.959999999999999432e+01,2.368665742574257820e+02,1.976940000000000055e+03
1.540000000000000000e+02,0.000000000000000000e+00,1.824631683168316556e+02,1.371458396039603940e+03,8.793999999999999773e+01,2.318501782178217638e+02,1.965579999999999927e+03
1.550000000000000000e+02,0.000000000000000000e+00,2.018143564356435888e+02,1.396520544554455455e+03,7.981000000000000227e+01,2.529004950495049400e+02,2.013250000000000000e+03
1.560000000000000000e+02,0.000000000000000000e+00,2.133917821782178237e+02,1.411514722772277310e+03,7.350000000000000000e+01,2.654944752475247469e+02,2.041769999999999982e+03
1.570000000000000000e+02,0.000000000000000000e+00,1.951691089108911399e+02,1.387914138613861496e+03,6.929000000000000625e+01,2.456717623762376661e+02,1.996880000000000109e+03
1.580000000000000000e+02,0.000000000000000000e+00,1.591418811881188731e+02,1.341254485148514959e+03,6.640000000000000568e+01,2.064811683168317415e+02,1.908130000000000109e+03
1.590000000000000000e+02,0.000000000000000000e+00,1.419908910891089704e+02,1.319041861386138635e+03,6.407999999999999829e+01,1.878242376237624285e+02,1.865880000000000109e+03
1.600000000000000000e+02,0.000000000000000000e+00,1.135547524752474970e+02,1.282213594059405978e+03,6.389999999999999858e+01,1.568912673267326454e+02,1.795829999999999927e+03
1.610000000000000000e+02,0.000000000000000000e+00,1.081232673267327016e+02,1.275179158415841584e+03,6.807999999999999829e+01,1.509828712871287166e+02,1.782450000000000045e+03
1.620000000000000000e+02,0.000000000000000000e+00,1.046971287128712902e+02,1.270741891089109004e+03,7.048999999999999488e+01,1.472559009900990077e+02,1.774009999999999991e+03
1.630000000000000000e+02,0.000000000000000000e+00,1.142651485148514610e+02,1.283133643564356362e+03,6.887999999999999545e+01,1.576640396039603615e+02,1.797579999999999927e+03
1.640000000000000000e+02,0.000000000000000000e+00,1.523707920792079449e+02,1.332485099009900978e+03,6.567000000000000171e+01,1.991155445544554539e+02,1.891450000000000045e+03
