# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet,Lobith
2.130000000000000000e+02,0.000000000000000000e+00,2.404913294797687939e+01,1.047841618497109721e+03,7.284000000000000341e+01,5.028971098265895279e+01,1.425279999999999973e+03
2.140000000000000000e+02,0.000000000000000000e+00,2.224963872832370271e+01,1.009692341040462452e+03,6.776000000000000512e+01,4.553904624277456747e+01,1.375470000000000027e+03
2.150000000000000000e+02,0.000000000000000000e+00,2.002203757225433378e+01,9.624671965317918421e+02,6.357999999999999829e+01,3.965817919075144005e+01,1.313809999999999945e+03
2.160000000000000000e+02,0.000000000000000000e+00,1.779515895953757365e+01,9.152573699421966467e+02,6.035999999999999943e+01,3.377921965317919728e+01,1.252170000000000073e+03
2.170000000000000000e+02,0.000000000000000000e+00,1.629371387283236672e+01,8.834267341040460906e+02,5.789000000000000057e+01,2.981540462427744487e+01,1.210609999999999900e+03
2.180000000000000000e+02,0.000000000000000000e+00,1.492015895953757010e+01,8.543073699421964875e+02,5.584000000000000341e+01,2.618921965317917966e+01,1.172589999999999918e+03
2.190000000000000000e+02,0.000000000000000000e+00,1.462680635838150423e+01,8.480882947976879223e+02,5.582000000000000028e+01,2.541476878612716916e+01,1.164470000000000027e+03
2.200000000000000000e+02,0.000000000000000000e+00,1.458381502890173387e+01,8.471768786127167914e+02,6.172999999999999687e+01,2.530127167630057272e+01,1.163279999999999973e+03
2.210000000000000000e+02,0.000000000000000000e+00,1.506141618497109924e+01,8.573020231213872648e+02,6.765000000000000568e+01,2.656213872832369915e+01,1.176500000000000000e+03
2.220000000000000000e+02,0.000000000000000000e+00,1.909573699421965642e+01,9.428296242774567872e+02,6.587000000000000455e+01,3.721274566473989154e+01,1.288170000000000073e+03
2.230000000000000000e+02,0.000000000000000000e+00,2.426372832369942500e+01,1.052391040462427782e+03,6.428000000000000114e+01,5.085624277456647491e+01,1.431220000000000027e+03
2.240000000000000000e+02,0.000000000000000000e+00,2.363367052023121317e+01,1.039033815028901699e+03,6.456999999999999318e+01,4.919289017341039738e+01,1.413779999999999973e+03
2.250000000000000000e+02,0.000000000000000000e+00,2.269039017341041031e+01,1.019036271676300657e+03,7.060999999999999943e+01,4.670263005780347498e+01,1.387670000000000073e+03
2.260000000000000000e+02,0.000000000000000000e+00,2.477817919075144815e+01,1.063297398843930750e+03,1.016899999999999977e+02,5.221439306358381316e+01,1.445460000000000036e+03
2.270000000000000000e+02,0.000000000000000000e+00,5.986910891089105746e+01,1.212684138613861251e+03,1.249200000000000017e+02,9.849176237623760244e+01,1.663579999999999927e+03
2.280000000000000000e+02,0.000000000000000000e+00,9.931029702970297990e+01,1.263765287128712771e+03,1.279500000000000028e+02,1.413960792079207920e+02,1.760740000000000009e+03
2.290000000000000000e+02,0.000000000000000000e+00,1.399408910891089022e+02,1.316386861386138662e+03,1.206800000000000068e+02,1.855942376237623535e+02,1.860829999999999927e+03
2.300000000000000000e+02,0.000000000000000000e+00,1.915521782178217904e+02,1.383229772277227767e+03,1.086299999999999955e+02,2.417372475247524903e+02,1.987970000000000027e+03
2.310000000000000000e+02,0.000000000000000000e+00,1.893641584158415583e+02,1.380396019801980174e+03,9.535999999999999943e+01,2.393571089108910712e+02,1.982579999999999927e+03
2.320000000000000000e+02,0.000000000000000000e+00,1.538646534653465778e+02,1.334419831683168468e+03,8.584000000000000341e+01,2.007405742574258056e+02,1.895130000000000109e+03
2.330000000000000000e+02,0.000000000000000000e+00,1.109770297029703130e+02,1.278875128712871401e+03,7.837999999999999545e+01,1.540872079207920819e+02,1.789480000000000018e+03
2.340000000000000000e+02,0.000000000000000000e+00,5.895980198019798735e+01,1.211506475247524804e+03,7.218000000000000682e+01,9.750261386138609510e+01,1.661339999999999918e+03
2.350000000000000000e+02,0.000000000000000000e+00,2.822254335260115710e+01,1.136317919075144346e+03,6.726999999999999602e+01,6.130751445086704621e+01,1.540799999999999955e+03
2.360000000000000000e+02,0.000000000000000000e+00,2.520845375722543125e+01,1.072419219653178970e+03,6.365999999999999659e+01,5.335031791907513110e+01,1.457369999999999891e+03
2.370000000000000000e+02,0.000000000000000000e+00,2.494436416184970895e+01,1.066820520231213777e+03,6.093999999999999773e+01,5.265312138728322822e+01,1.450059999999999945e+03
2.380000000000000000e+02,0.000000000000000000e+00,2.392774566473988784e+01,1.045268208092485565e+03,5.886999999999999744e+01,4.996924855491329964e+01,1.421920000000000073e+03
2.390000000000000000e+02,0.000000000000000000e+00,2.096351156069363952e+01,9.824264450867051437e+02,5.721999999999999886e+01,4.214367052023120408e+01,1.339869999999999891e+03
2.400000000000000000e+02,0.000000000000000000e+00,1.842341040462427770e+01,9.285763005780346475e+02,5.596999999999999886e+01,3.543780346820808802e+01,1.269559999999999945e+03
2.410000000000000000e+02,0.000000000000000000e+00,1.570917630057803827e+01,8.710345375722544077e+02,5.481000000000000227e+01,2.827222543352601747e+01,1.194430000000000064e+03
2.420000000000000000e+02,0.000000000000000000e+00,1.190643063583815220e+01,7.904163294797688195e+02,5.331000000000000227e+01,1.823297687861272109e+01,1.089170000000000073e+03
2.430000000000000000e+02,2.000000000000000000e+00,1.006322254335260524e+01,7.493403179190752326e+02,5.159000000000000341e+01,0.000000000000000000e+00,1.038150000000000091e+03
