# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet,Lobith
2.340000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,4.075618749999999864e+02,3.474000000000000199e+01,0.000000000000000000e+00,6.147799999999999727e+02
2.350000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,4.055332589285714562e+02,3.607999999999999829e+01,0.000000000000000000e+00,6.123500000000000227e+02
2.360000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,4.051408928571428305e+02,3.786999999999999744e+01,0.000000000000000000e+00,6.118799999999999955e+02
2.370000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,3.999399553571428214e+02,3.924000000000000199e+01,0.000000000000000000e+00,6.056499999999999773e+02
2.380000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,3.997062053571428351e+02,3.957999999999999829e+01,0.000000000000000000e+00,6.053700000000000045e+02
2.390000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,4.048570535714285370e+02,3.906000000000000227e+01,0.000000000000000000e+00,6.115399999999999636e+02
2.400000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.080496428571428851e+02,3.809000000000000341e+01,0.000000000000000000e+00,6.177599999999999909e+02
2.410000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.137347767857143026e+02,3.724000000000000199e+01,0.000000000000000000e+00,6.245700000000000500e+02
2.420000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.215904464285714539e+02,3.647999999999999687e+01,0.000000000000000000e+00,6.339800000000000182e+02
2.430000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.309154017857142662e+02,3.585999999999999943e+01,0.000000000000000000e+00,6.451499999999999773e+02
