# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet,Lobith
2.130000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,4.696224999999999454e+02,3.820000000000000284e+01,0.000000000000000000e+00,6.891200000000000045e+02
2.140000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,4.560399553571428442e+02,3.745000000000000284e+01,0.000000000000000000e+00,6.728500000000000227e+02
2.150000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,4.412636160714286007e+02,3.765999999999999659e+01,0.000000000000000000e+00,6.551499999999999773e+02
2.160000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,4.329320982142857019e+02,3.884000000000000341e+01,0.000000000000000000e+00,6.451699999999999591e+02
2.170000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,4.195916517857143617e+02,3.904999999999999716e+01,0.000000000000000000e+00,6.291900000000000546e+02
2.180000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,4.067270535714285415e+02,3.827000000000000313e+01,0.000000000000000000e+00,6.137799999999999727e+02
2.190000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,3.901093303571428805e+02,3.746999999999999886e+01,0.000000000000000000e+00,5.962699999999999818e+02
2.200000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,3.843323660714286234e+02,3.660000000000000142e+01,0.000000000000000000e+00,5.893500000000000227e+02
2.210000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,3.713759375000000205e+02,3.575000000000000000e+01,0.000000000000000000e+00,5.738300000000000409e+02
2.220000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,3.672185267857142890e+02,3.499000000000000199e+01,0.000000000000000000e+00,5.688500000000000227e+02
2.230000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,3.603229017857142935e+02,3.436999999999999744e+01,0.000000000000000000e+00,5.605900000000000318e+02
2.240000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,3.570170089285714425e+02,3.389999999999999858e+01,0.000000000000000000e+00,5.566299999999999955e+02
2.250000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,3.499210267857142753e+02,3.371999999999999886e+01,0.000000000000000000e+00,5.481299999999999955e+02
2.260000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,3.505304464285714516e+02,3.397999999999999687e+01,0.000000000000000000e+00,5.488600000000000136e+02
2.270000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,3.475000446428571763e+02,3.432999999999999829e+01,0.000000000000000000e+00,5.452300000000000182e+02
2.280000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,3.446449553571428055e+02,3.432000000000000028e+01,0.000000000000000000e+00,5.418099999999999454e+02
2.290000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,3.447284374999999841e+02,3.410000000000000142e+01,0.000000000000000000e+00,5.419099999999999682e+02
2.300000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,3.422072767857142708e+02,3.375999999999999801e+01,0.000000000000000000e+00,5.388899999999999864e+02
