# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet
215,2,20,611.4521429,55.93,0
216,2,20,607.2279464,53.16,0
217,2,20,581.5070982,50.68,0
218,2,20,561.2459821,47.64,0
219,2,20,542.5459821,44.88,0
220,2,20,528.7797768,43.43,0
221,2,20,513.1853125,43.17,0
222,2,20,510.8561607,42.88,0
223,2,20,506.1728125,41.55,0
224,2,20,513.2604464,39.85,0
225,2,20,509.9462054,38.48,0
226,2,20,507.7005357,40.46,0
227,2,20,500.2622768,42.95,0
228,2,20,504.7285714,41.77,0
229,2,20,506.4065625,45.8,0
230,2,20,509.1865179,55.82,0
231,2,20,526.9264732,59.93,0
232,2,20,550.1011161,58.7,0
233,2,20,588.5947321,55.6,0
234,2,20,622.0126339,51.6,0
235,2,20,643.20875,49.49,0
236,2,20.69624277,693.9008671,50.16,0
237,2,20.60043353,688.8229769,50.55,0
238,2,20.24407514,669.9359827,49,0
239,2,20,620.8355357,48.66,0
240,2,20,598.3454464,48.44,0
241,2,20,578.5852232,45.8,0
242,2,20,563.4165179,42.86,0
243,2,20,552.8810714,40.5,0
244,2,20,547.9806696,38.83,0
245,2,20,540.0916071,37.79,0
246,2,20,536.969375,37.19,0
247,2,20,534.0391518,36.73,0
248,2,20,520.4816518,36.14,0
249,2,20,507.3248661,35.68,0
250,2,20,497.6158929,35.7,0
251,2,20,500.6045536,36.2,0
252,2,20,505.3880804,36.82,0
253,2,20,508.2765625,38.12,0
254,2,20,512.3421429,39.19,0
