# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet
239,2,20,620.8355357,48.66,0
240,2,20,598.3454464,48.44,0
241,2,20,578.5852232,45.8,0
242,2,20,563.4165179,42.86,0
243,2,20,552.8810714,40.5,0
244,2,20,547.9806696,38.83,0
245,2,20,540.0916071,37.79,0
246,2,20,536.969375,37.19,0
247,2,20,534.0391518,36.73,0
248,2,20,520.4816518,36.14,0
249,2,20,507.3248661,35.68,0
250,2,20,497.6158929,35.7,0
251,2,20,500.6045536,36.2,0
252,2,20,505.3880804,36.82,0
253,2,20,508.2765625,38.12,0
254,2,20,512.3421429,39.19,0
255,2,20,521.7672768,40.72,0
256,2,20,534.398125,40.98,0
257,2,20,561.1291071,39.97,0
258,2,20,588.5195982,38.6,0
259,2,20,605.5666518,38.98,0
260,2,20,634.4765179,41.43,0
261,2,20,637.1229018,44.46,0
262,2,20,637.2230804,46.15,0
263,2,20,622.5051786,46.03,0
264,2,20,605.6167411,45.5,0
265,2,20,594.5553571,44.1,0
266,2,20,583.9280804,42.28,0
267,2,20,576.3145089,40.76,0
268,2,20,566.6472768,39.86,0
269,2,20,555.5775446,39.45,0
