# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet,Lobith
1.520000000000000000e+02,0.000000000000000000e+00,2.353125742574257515e+02,1.439904821782178260e+03,1.095000000000000000e+02,2.893400198019801906e+02,2.095769999999999982e+03
1.530000000000000000e+02,0.000000000000000000e+00,2.014571287128712527e+02,1.396057891089108807e+03,1.101200000000000045e+02,2.525119009900989511e+02,2.012369999999999891e+03
1.540000000000000000e+02,0.000000000000000000e+00,1.816878217821782471e+02,1.370454227722772430e+03,1.146099999999999994e+02,2.310067524752475663e+02,1.963670000000000073e+03
1.550000000000000000e+02,0.000000000000000000e+00,1.647925742574257413e+02,1.348572821782178153e+03,1.178299999999999983e+02,2.126280198019801730e+02,1.922049999999999955e+03
1.560000000000000000e+02,0.000000000000000000e+00,1.572461386138614046e+02,1.338799267326732661e+03,1.164599999999999937e+02,2.044189702970297162e+02,1.903460000000000036e+03
1.570000000000000000e+02,0.000000000000000000e+00,1.468134653465346560e+02,1.325287683168316789e+03,1.173400000000000034e+02,1.930702574257425681e+02,1.877759999999999991e+03
1.580000000000000000e+02,0.000000000000000000e+00,1.320250495049504593e+02,1.306134881188118698e+03,1.218199999999999932e+02,1.769833465346534354e+02,1.841329999999999927e+03
1.590000000000000000e+02,0.000000000000000000e+00,1.265651485148515292e+02,1.299063643564356425e+03,1.209099999999999966e+02,1.710440396039604423e+02,1.827880000000000109e+03
1.600000000000000000e+02,0.000000000000000000e+00,1.293823762376237596e+02,1.302712297029702995e+03,1.148700000000000045e+02,1.741086336633663052e+02,1.834819999999999936e+03
1.610000000000000000e+02,0.000000000000000000e+00,1.351264356435643776e+02,1.310151554455445648e+03,1.076700000000000017e+02,1.803570495049505098e+02,1.848970000000000027e+03
1.620000000000000000e+02,0.000000000000000000e+00,1.300278217821782505e+02,1.303548227722772253e+03,1.016500000000000057e+02,1.748107524752475683e+02,1.836410000000000082e+03
1.630000000000000000e+02,0.000000000000000000e+00,1.559146534653465892e+02,1.337074831683168441e+03,9.664000000000000057e+01,2.029705742574257670e+02,1.900180000000000064e+03
1.640000000000000000e+02,0.000000000000000000e+00,2.370256435643563577e+02,1.442123455445544550e+03,9.243999999999999773e+01,2.912035049504949598e+02,2.099989999999999782e+03
1.650000000000000000e+02,0.000000000000000000e+00,3.431547524752475056e+02,1.579573594059405877e+03,8.881000000000000227e+01,4.066512673267325795e+02,2.361429999999999836e+03
1.660000000000000000e+02,0.000000000000000000e+00,3.630783168316832530e+02,1.605377039603960611e+03,8.706999999999999318e+01,4.283242178217822698e+02,2.410510000000000218e+03
1.670000000000000000e+02,0.000000000000000000e+00,3.191596039603961117e+02,1.548496950495049532e+03,9.712000000000000455e+01,3.805492277227723434e+02,2.302320000000000164e+03
1.680000000000000000e+02,0.000000000000000000e+00,2.377888118811880815e+02,1.443111851485148463e+03,1.063799999999999955e+02,2.920336831683167702e+02,2.101869999999999891e+03
1.690000000000000000e+02,0.000000000000000000e+00,1.847486138613861613e+02,1.374418326732673222e+03,1.198199999999999932e+02,2.343362970297029904e+02,1.971210000000000036e+03
1.700000000000000000e+02,0.000000000000000000e+00,1.611634653465346219e+02,1.343872683168316826e+03,1.268900000000000006e+02,2.086802574257425249e+02,1.913109999999999900e+03
1.710000000000000000e+02,0.000000000000000000e+00,1.370465346534653577e+02,1.312638316831683142e+03,1.253900000000000006e+02,1.824457425742574515e+02,1.853700000000000045e+03
1.720000000000000000e+02,0.000000000000000000e+00,1.314080198019801742e+02,1.305335752475247546e+03,1.186099999999999994e+02,1.763121386138613502e+02,1.839809999999999945e+03
1.730000000000000000e+02,0.000000000000000000e+00,1.190593069306931113e+02,1.289342663366336637e+03,1.097900000000000063e+02,1.628791485148515221e+02,1.809390000000000100e+03
1.740000000000000000e+02,0.000000000000000000e+00,1.090812871287128587e+02,1.276419910891089103e+03,1.017199999999999989e+02,1.520250099009900850e+02,1.784809999999999945e+03
1.750000000000000000e+02,0.000000000000000000e+00,8.798049504950492405e+01,1.249091811881188050e+03,9.526999999999999602e+01,1.290714653465346373e+02,1.732829999999999927e+03
1.760000000000000000e+02,0.000000000000000000e+00,7.902138613861386318e+01,1.237488673267326703e+03,9.076000000000000512e+01,1.193257029702970158e+02,1.710759999999999991e+03
