# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet,Lobith
2.130000000000000000e+02,0.000000000000000000e+00,2.705491329479768936e+01,1.111564161849710899e+03,5.193999999999999773e+01,5.822497109826589679e+01,1.508480000000000018e+03
2.140000000000000000e+02,0.000000000000000000e+00,2.617774566473988784e+01,1.092968208092485611e+03,5.068999999999999773e+01,5.590924855491329737e+01,1.484200000000000045e+03
2.150000000000000000e+02,0.000000000000000000e+00,2.545267341040462838e+01,1.077596676300578110e+03,4.925000000000000000e+01,5.399505780346821382e+01,1.464130000000000109e+03
2.160000000000000000e+02,0.000000000000000000e+00,2.405671965317919359e+01,1.048002456647398958e+03,4.790999999999999659e+01,5.030973988439306055e+01,1.425490000000000009e+03
2.170000000000000000e+02,0.000000000000000000e+00,2.215137283236994392e+01,1.007609104046242692e+03,4.675000000000000000e+01,4.527962427745664797e+01,1.372750000000000000e+03
2.180000000000000000e+02,0.000000000000000000e+00,1.962247109826589764e+01,9.539963872832370271e+02,4.571999999999999886e+01,3.860332369942196351e+01,1.302750000000000000e+03
2.190000000000000000e+02,0.000000000000000000e+00,1.793352601156069426e+01,9.181907514450866756e+02,4.478999999999999915e+01,3.414450867052023142e+01,1.256000000000000000e+03
2.200000000000000000e+02,0.000000000000000000e+00,1.641546242774566622e+01,8.860078034682080670e+02,4.403000000000000114e+01,3.013682080924855455e+01,1.213980000000000018e+03
2.210000000000000000e+02,0.000000000000000000e+00,1.474096820809248953e+01,8.505085260115607753e+02,4.350000000000000000e+01,2.571615606936417109e+01,1.167630000000000109e+03
2.220000000000000000e+02,0.000000000000000000e+00,1.338222543352601157e+01,8.217031791907513707e+02,4.307000000000000028e+01,2.212907514450866842e+01,1.130019999999999982e+03
2.230000000000000000e+02,0.000000000000000000e+00,1.073663294797687762e+01,7.656166184971098119e+02,4.252000000000000313e+01,1.514471098265895499e+01,1.056789999999999964e+03
2.240000000000000000e+02,0.000000000000000000e+00,9.683164739884396965e+00,7.432830924855492185e+02,4.192999999999999972e+01,0.000000000000000000e+00,1.027630000000000109e+03
2.250000000000000000e+02,0.000000000000000000e+00,8.926661849710985308e+00,7.272452312138728985e+02,4.139000000000000057e+01,0.000000000000000000e+00,1.006690000000000055e+03
2.260000000000000000e+02,0.000000000000000000e+00,8.164378612716763683e+00,7.110848265895954228e+02,4.095000000000000284e+01,0.000000000000000000e+00,9.855900000000000318e+02
