# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet,Lobith
2.130000000000000000e+02,0.000000000000000000e+00,1.558598265895953716e+01,8.684228323699421708e+02,3.697999999999999687e+01,2.794699421965317399e+01,1.191019999999999982e+03
2.140000000000000000e+02,0.000000000000000000e+00,1.546929190751444949e+01,8.659489884393062766e+02,3.639999999999999858e+01,2.763893063583814680e+01,1.187789999999999964e+03
2.150000000000000000e+02,0.000000000000000000e+00,1.525144508670520338e+01,8.613306358381503287e+02,3.614000000000000057e+01,2.706381502890173252e+01,1.181759999999999991e+03
2.160000000000000000e+02,0.000000000000000000e+00,1.463475433526011749e+01,8.482567919075145255e+02,3.614999999999999858e+01,2.543575144508670860e+01,1.164690000000000055e+03
2.170000000000000000e+02,0.000000000000000000e+00,1.378793352601156208e+01,8.303041907514450486e+02,3.585000000000000142e+01,2.320014450867051892e+01,1.141250000000000000e+03
2.180000000000000000e+02,0.000000000000000000e+00,1.167955202312139207e+01,7.856065028901734877e+02,3.560000000000000142e+01,1.763401734104047236e+01,1.082890000000000100e+03
2.190000000000000000e+02,2.000000000000000000e+00,1.051047687861271740e+01,7.588221098265895534e+02,3.560999999999999943e+01,0.000000000000000000e+00,1.050529999999999973e+03
2.200000000000000000e+02,2.000000000000000000e+00,9.728323699421970616e+00,7.422404624277457970e+02,3.539000000000000057e+01,0.000000000000000000e+00,1.028880000000000109e+03
2.210000000000000000e+02,2.000000000000000000e+00,8.729768786127168667e+00,7.210710982658958983e+02,3.495000000000000284e+01,0.000000000000000000e+00,1.001240000000000009e+03
2.220000000000000000e+02,2.000000000000000000e+00,8.049855491329477530e+00,7.066569364161849762e+02,3.453000000000000114e+01,0.000000000000000000e+00,9.824199999999999591e+02
2.230000000000000000e+02,2.000000000000000000e+00,5.844653179190751224e+00,6.599066473988439157e+02,3.420000000000000284e+01,0.000000000000000000e+00,9.213799999999999955e+02
2.240000000000000000e+02,2.000000000000000000e+00,5.396676300578035601e+00,6.504095375722542940e+02,3.399000000000000199e+01,0.000000000000000000e+00,9.089800000000000182e+02
2.250000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,6.391866517857142753e+02,3.596999999999999886e+01,0.000000000000000000e+00,8.946299999999999955e+02
2.260000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,6.401884374999999636e+02,3.914000000000000057e+01,0.000000000000000000e+00,8.958300000000000409e+02
2.270000000000000000e+02,2.000000000000000000e+00,5.075144508670521581e+00,6.435930635838150238e+02,3.936999999999999744e+01,0.000000000000000000e+00,9.000800000000000409e+02
2.280000000000000000e+02,2.000000000000000000e+00,7.201950867052024918e+00,6.886813583815029460e+02,3.818999999999999773e+01,0.000000000000000000e+00,9.589500000000000455e+02
2.290000000000000000e+02,2.000000000000000000e+00,7.420881502890173564e+00,6.933226878612716746e+02,3.747999999999999687e+01,0.000000000000000000e+00,9.650099999999999909e+02
2.300000000000000000e+02,2.000000000000000000e+00,7.026734104046243878e+00,6.849667630057804217e+02,3.692999999999999972e+01,0.000000000000000000e+00,9.541000000000000227e+02
2.310000000000000000e+02,2.000000000000000000e+00,6.610549132947978634e+00,6.761436416184970994e+02,3.646000000000000085e+01,0.000000000000000000e+00,9.425800000000000409e+02
2.320000000000000000e+02,2.000000000000000000e+00,6.472182080924855363e+00,6.732102601156069568e+02,3.617999999999999972e+01,0.000000000000000000e+00,9.387500000000000000e+02
2.330000000000000000e+02,2.000000000000000000e+00,8.092846820809249664e+00,7.075683526011561071e+02,3.595000000000000284e+01,0.000000000000000000e+00,9.836100000000000136e+02
2.340000000000000000e+02,2.000000000000000000e+00,1.476445086705202314e+01,8.490063583815028778e+02,3.575999999999999801e+01,2.577815028901733641e+01,1.168279999999999973e+03
2.350000000000000000e+02,2.000000000000000000e+00,1.762752890173410236e+01,9.097036127167630184e+02,3.589999999999999858e+01,3.333667630057802711e+01,1.247529999999999973e+03
2.360000000000000000e+02,2.000000000000000000e+00,1.746531791907514375e+01,9.062647398843930659e+02,3.632999999999999829e+01,3.290843930635837467e+01,1.243039999999999964e+03
2.370000000000000000e+02,2.000000000000000000e+00,1.573302023121387094e+01,8.695400289017341038e+02,3.667999999999999972e+01,2.833517341040461446e+01,1.195089999999999918e+03
2.380000000000000000e+02,2.000000000000000000e+00,1.203034682080924611e+01,7.910433526011560161e+02,3.664000000000000057e+01,1.856011560693640661e+01,1.092599999999999909e+03
2.390000000000000000e+02,2.000000000000000000e+00,9.755057803468204725e+00,7.428072254335259004e+02,3.610999999999999943e+01,0.000000000000000000e+00,1.029619999999999891e+03
2.400000000000000000e+02,2.000000000000000000e+00,7.769508670520229643e+00,7.007135838150288691e+02,3.532999999999999829e+01,0.000000000000000000e+00,9.746599999999999682e+02
2.410000000000000000e+02,2.000000000000000000e+00,7.013367052023122383e+00,6.846833815028901427e+02,3.470000000000000284e+01,0.000000000000000000e+00,9.537300000000000182e+02
2.420000000000000000e+02,2.000000000000000000e+00,6.610549132947978634e+00,6.761436416184970994e+02,3.415999999999999659e+01,0.000000000000000000e+00,9.425800000000000409e+02
2.430000000000000000e+02,2.000000000000000000e+00,6.208092485549134842e+00,6.676115606936416498e+02,3.361999999999999744e+01,0.000000000000000000e+00,9.314400000000000546e+02
