# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet,Lobith
1.520000000000000000e+02,0.000000000000000000e+00,1.948443564356435331e+02,1.387493544554455411e+03,6.767000000000000171e+01,2.453184950495049179e+02,1.996079999999999927e+03
1.530000000000000000e+02,0.000000000000000000e+00,1.456808910891089113e+02,1.323820861386138631e+03,6.395000000000000284e+01,1.918382376237623816e+02,1.874970000000000027e+03
1.540000000000000000e+02,0.000000000000000000e+00,8.882079207920796193e+01,1.250180099009901141e+03,6.081000000000000227e+01,1.299855445544554868e+02,1.734900000000000091e+03
1.550000000000000000e+02,0.000000000000000000e+00,2.993713872832370271e+01,1.172667341040462361e+03,5.814999999999999858e+01,6.583404624277456207e+01,1.588259999999999991e+03
1.560000000000000000e+02,0.000000000000000000e+00,2.454768786127167601e+01,1.058410982658959483e+03,5.596000000000000085e+01,5.160589595375721217e+01,1.439079999999999927e+03
1.570000000000000000e+02,0.000000000000000000e+00,2.166329479768786115e+01,9.972618497109826876e+02,5.407000000000000028e+01,4.399109826589594974e+01,1.359240000000000009e+03
1.580000000000000000e+02,0.000000000000000000e+00,1.824241329479768581e+01,9.247391618497109675e+02,5.235999999999999943e+01,3.495997109826588911e+01,1.264549999999999955e+03
1.590000000000000000e+02,0.000000000000000000e+00,1.667304913294797331e+01,8.914686416184970312e+02,5.082999999999999829e+01,3.081684971098264825e+01,1.221109999999999900e+03
1.600000000000000000e+02,0.000000000000000000e+00,1.535693641618497374e+01,8.635670520231213914e+02,5.031000000000000227e+01,2.734231213872832811e+01,1.184680000000000064e+03
1.610000000000000000e+02,0.000000000000000000e+00,1.528251445086704940e+01,8.619893063583814410e+02,5.122999999999999687e+01,2.714583815028900560e+01,1.182619999999999891e+03
1.620000000000000000e+02,0.000000000000000000e+00,1.643063583815029460e+01,8.863294797687862001e+02,5.325000000000000000e+01,3.017687861271677008e+01,1.214400000000000091e+03
1.630000000000000000e+02,0.000000000000000000e+00,1.793063583815029460e+01,9.181294797687861546e+02,5.450000000000000000e+01,3.413687861271677093e+01,1.255920000000000073e+03
1.640000000000000000e+02,0.000000000000000000e+00,1.807586705202312416e+01,9.212083815028902336e+02,5.524000000000000199e+01,3.452028901734104238e+01,1.259940000000000055e+03
1.650000000000000000e+02,0.000000000000000000e+00,1.719508670520231064e+01,9.025358381502890097e+02,5.818999999999999773e+01,3.219502890173409781e+01,1.235559999999999945e+03
1.660000000000000000e+02,0.000000000000000000e+00,1.683056358381503159e+01,8.948079479768786086e+02,6.361999999999999744e+01,3.123268786127167829e+01,1.225470000000000027e+03
1.670000000000000000e+02,0.000000000000000000e+00,1.661018786127167246e+01,8.901359826589593922e+02,7.042000000000000171e+01,3.065089595375721387e+01,1.219369999999999891e+03
1.680000000000000000e+02,0.000000000000000000e+00,1.639523121387283666e+01,8.855789017341040790e+02,6.739000000000000057e+01,3.008341040462428140e+01,1.213420000000000073e+03
1.690000000000000000e+02,0.000000000000000000e+00,1.622507225433526301e+01,8.819715317919075233e+02,6.771999999999999886e+01,2.963419075144508952e+01,1.208710000000000036e+03
1.700000000000000000e+02,0.000000000000000000e+00,1.636632947976878327e+01,8.849661849710981869e+02,6.875000000000000000e+01,3.000710982658958415e+01,1.212619999999999891e+03
1.710000000000000000e+02,0.000000000000000000e+00,1.657586705202312416e+01,8.894083815028902791e+02,7.479000000000000625e+01,3.056028901734104508e+01,1.218420000000000073e+03
1.720000000000000000e+02,0.000000000000000000e+00,1.737174855491329595e+01,9.062810693641617945e+02,7.695000000000000284e+01,3.266141618497110244e+01,1.240450000000000045e+03
1.730000000000000000e+02,0.000000000000000000e+00,1.824566473988439697e+01,9.248080924855491958e+02,7.285999999999999943e+01,3.496855491329480259e+01,1.264640000000000100e+03
1.740000000000000000e+02,0.000000000000000000e+00,1.782080924855491588e+01,9.158011560693641968e+02,6.887999999999999545e+01,3.384693641618498106e+01,1.252880000000000109e+03
1.750000000000000000e+02,0.000000000000000000e+00,1.810404624277456875e+01,9.218057803468208249e+02,6.392999999999999972e+01,3.459468208092485497e+01,1.260720000000000027e+03
1.760000000000000000e+02,0.000000000000000000e+00,1.717124277456647974e+01,9.020303468208093136e+02,5.847999999999999687e+01,3.213208092485550083e+01,1.234900000000000091e+03
1.770000000000000000e+02,0.000000000000000000e+00,1.704913294797687939e+01,8.994416184971098573e+02,5.431000000000000227e+01,3.180971098265895591e+01,1.231519999999999982e+03
1.780000000000000000e+02,0.000000000000000000e+00,1.651517341040462483e+01,8.881216763005779740e+02,5.122999999999999687e+01,3.040005780346820785e+01,1.216740000000000009e+03
1.790000000000000000e+02,0.000000000000000000e+00,1.652817919075144459e+01,8.883973988439305458e+02,4.909000000000000341e+01,3.043439306358380492e+01,1.217099999999999909e+03
1.800000000000000000e+02,0.000000000000000000e+00,1.657839595375722652e+01,8.894619942196532065e+02,4.814000000000000057e+01,3.056696531791907390e+01,1.218490000000000009e+03
1.810000000000000000e+02,0.000000000000000000e+00,1.692232658959537872e+01,8.967533236994219124e+02,4.818999999999999773e+01,3.147494219653178860e+01,1.228009999999999991e+03
1.820000000000000000e+02,0.000000000000000000e+00,1.695773121387283311e+01,8.975039017341040335e+02,4.810999999999999943e+01,3.156841040462427728e+01,1.228990000000000009e+03
1.830000000000000000e+02,0.000000000000000000e+00,1.485440751445086782e+01,8.529134393063583275e+02,4.664000000000000057e+01,2.601563583815028480e+01,1.170769999999999982e+03
1.840000000000000000e+02,0.000000000000000000e+00,1.360368497109826968e+01,8.263981213872832541e+02,4.481000000000000227e+01,2.271372832369942785e+01,1.136150000000000091e+03
1.850000000000000000e+02,0.000000000000000000e+00,1.280346820809248598e+01,8.094335260115607298e+02,4.302000000000000313e+01,2.060115606936416199e+01,1.114000000000000000e+03
1.860000000000000000e+02,0.000000000000000000e+00,1.196315028901734223e+01,7.916187861271675956e+02,4.127000000000000313e+01,1.838271676300578150e+01,1.090740000000000009e+03
1.870000000000000000e+02,2.000000000000000000e+00,1.253865606936416555e+01,8.018195086705202357e+02,3.967999999999999972e+01,1.990205202312139221e+01,1.106670000000000073e+03
1.880000000000000000e+02,2.000000000000000000e+00,1.564450867052023497e+01,8.676635838150289146e+02,3.839000000000000057e+01,2.810150289017341763e+01,1.192640000000000100e+03
1.890000000000000000e+02,2.000000000000000000e+00,1.904985549132948464e+01,9.398569364161849080e+02,3.750999999999999801e+01,3.709161849710983461e+01,1.286900000000000091e+03
1.900000000000000000e+02,2.000000000000000000e+00,1.969002890173410236e+01,9.534286127167629274e+02,4.592999999999999972e+01,3.878167630057802029e+01,1.304619999999999891e+03
1.910000000000000000e+02,2.000000000000000000e+00,1.792846820809248243e+01,9.160835260115605934e+02,5.634000000000000341e+01,3.413115606936415247e+01,1.255859999999999900e+03
1.920000000000000000e+02,2.000000000000000000e+00,1.596351156069364308e+01,8.744264450867052574e+02,6.667000000000000171e+01,2.894367052023121545e+01,1.201470000000000027e+03
1.930000000000000000e+02,2.000000000000000000e+00,1.488186416184971073e+01,8.514955202312138454e+02,7.550000000000000000e+01,2.608812138728323404e+01,1.171529999999999973e+03
