# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet,Lobith
2.340000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,4.428247321428571013e+02,3.288000000000000256e+01,0.000000000000000000e+00,6.570199999999999818e+02
2.350000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,4.387508035714286052e+02,3.342999999999999972e+01,0.000000000000000000e+00,6.521399999999999864e+02
2.360000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,4.423989732142856610e+02,4.304999999999999716e+01,0.000000000000000000e+00,6.565099999999999909e+02
2.370000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,4.552719196428571422e+02,5.289000000000000057e+01,0.000000000000000000e+00,6.719299999999999500e+02
2.380000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,4.718848660714286325e+02,5.040999999999999659e+01,0.000000000000000000e+00,6.918300000000000409e+02
2.390000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,4.820029017857143572e+02,4.938000000000000256e+01,0.000000000000000000e+00,7.039500000000000455e+02
2.400000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.925252232142858020e+02,4.963000000000000256e+01,0.000000000000000000e+00,7.189500000000000455e+02
2.410000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.306765625000000455e+02,4.725000000000000000e+01,0.000000000000000000e+00,7.646499999999999773e+02
2.420000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.753478571428571513e+02,4.536999999999999744e+01,0.000000000000000000e+00,8.181599999999999682e+02
2.430000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,6.086989732142857292e+02,4.382000000000000028e+01,0.000000000000000000e+00,8.581100000000000136e+02
