# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet,Lobith
2.130000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,6.437662500000000136e+02,4.518999999999999773e+01,0.000000000000000000e+00,8.977200000000000273e+02
2.140000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,6.347752232142856883e+02,4.388000000000000256e+01,0.000000000000000000e+00,8.869500000000000455e+02
2.150000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,6.167681250000000546e+02,4.245000000000000284e+01,0.000000000000000000e+00,8.653799999999999955e+02
2.160000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,5.936185267857142662e+02,4.428999999999999915e+01,0.000000000000000000e+00,8.376499999999999773e+02
2.170000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,5.838093750000000455e+02,5.264999999999999858e+01,0.000000000000000000e+00,8.258999999999999773e+02
2.180000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,5.709614732142856610e+02,6.501000000000000512e+01,0.000000000000000000e+00,8.105099999999999909e+02
2.190000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.576162500000000364e+02,6.687000000000000455e+01,0.000000000000000000e+00,7.969199999999999591e+02
2.200000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.403187500000000227e+02,6.242999999999999972e+01,0.000000000000000000e+00,7.762000000000000455e+02
2.210000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.349508482142857702e+02,5.596000000000000085e+01,0.000000000000000000e+00,7.697699999999999818e+02
2.220000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.186467857142856701e+02,5.114999999999999858e+01,0.000000000000000000e+00,7.502400000000000091e+02
2.230000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.113587946428571058e+02,4.827000000000000313e+01,0.000000000000000000e+00,7.415099999999999909e+02
2.240000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.999050446428570922e+02,4.663000000000000256e+01,0.000000000000000000e+00,7.277899999999999636e+02
2.250000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.976009374999999864e+02,4.460999999999999943e+01,0.000000000000000000e+00,7.250299999999999727e+02
2.260000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.000720089285714494e+02,4.263000000000000256e+01,0.000000000000000000e+00,7.279900000000000091e+02
2.270000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.206420089285713857e+02,4.099000000000000199e+01,0.000000000000000000e+00,7.526299999999999955e+02
2.280000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.338071428571428214e+02,3.952000000000000313e+01,0.000000000000000000e+00,7.683999999999999773e+02
2.290000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.357188839285714721e+02,3.810000000000000142e+01,0.000000000000000000e+00,7.706900000000000546e+02
2.300000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.324296875000000000e+02,3.677000000000000313e+01,0.000000000000000000e+00,7.667500000000000000e+02
2.310000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.273289285714286052e+02,3.567000000000000171e+01,0.000000000000000000e+00,7.606399999999999864e+02
2.320000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.551869196428572195e+02,3.485000000000000142e+01,0.000000000000000000e+00,7.940099999999999909e+02
2.330000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.906835267857143208e+02,3.422999999999999687e+01,0.000000000000000000e+00,8.365299999999999727e+02
2.340000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.956089732142856974e+02,3.371000000000000085e+01,0.000000000000000000e+00,8.424299999999999500e+02
2.350000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.681850892857144117e+02,3.321999999999999886e+01,0.000000000000000000e+00,8.095800000000000409e+02
2.360000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.350677232142857065e+02,3.279999999999999716e+01,0.000000000000000000e+00,7.699099999999999682e+02
2.370000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.108412053571428260e+02,3.247999999999999687e+01,0.000000000000000000e+00,7.408899999999999864e+02
2.380000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.976343303571429715e+02,3.225000000000000000e+01,0.000000000000000000e+00,7.250700000000000500e+02
2.390000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.901292857142857429e+02,3.209000000000000341e+01,0.000000000000000000e+00,7.160800000000000409e+02
2.400000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.850034821428571377e+02,3.189000000000000057e+01,0.000000000000000000e+00,7.099400000000000546e+02
2.410000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.809963392857142708e+02,3.178999999999999915e+01,0.000000000000000000e+00,7.051399999999999864e+02
2.420000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.758538392857143435e+02,3.183999999999999986e+01,0.000000000000000000e+00,6.989800000000000182e+02
2.430000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,4.707530803571428351e+02,3.198000000000000043e+01,0.000000000000000000e+00,6.928700000000000045e+02
