# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet
1.520000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+01,8.123614498500000991e+02,1.689900000000000091e+02,0.000000000000000000e+00
1.530000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+01,7.900914914999999610e+02,1.549399999999999977e+02,0.000000000000000000e+00
1.540000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+01,7.638605042499999627e+02,1.440900000000000034e+02,0.000000000000000000e+00
1.550000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+01,7.415650207400000227e+02,1.371699999999999875e+02,0.000000000000000000e+00
1.560000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+01,7.255595062050000479e+02,1.333000000000000114e+02,0.000000000000000000e+00
1.570000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+01,7.047005249049999520e+02,1.316500000000000057e+02,0.000000000000000000e+00
1.580000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+01,6.926049896299999773e+02,1.320999999999999943e+02,0.000000000000000000e+00
1.590000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+01,6.944325103699999318e+02,1.301299999999999955e+02,0.000000000000000000e+00
1.600000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+01,7.115089812999999594e+02,1.254699999999999989e+02,0.000000000000000000e+00
1.610000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+01,8.471519957499999691e+02,1.210900000000000034e+02,0.000000000000000000e+00
1.620000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+01,1.048440545899999961e+03,1.166200000000000045e+02,0.000000000000000000e+00
1.630000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+01,1.106436028899999883e+03,1.129099999999999966e+02,0.000000000000000000e+00
1.640000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+01,1.068253991499999984e+03,1.109899999999999949e+02,0.000000000000000000e+00
1.650000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+01,1.033301995750000060e+03,1.122399999999999949e+02,0.000000000000000000e+00
1.660000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+01,9.856934872500000893e+02,1.157500000000000000e+02,0.000000000000000000e+00
1.670000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+01,9.697985289000000648e+02,1.172000000000000028e+02,0.000000000000000000e+00
