# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet
1.82E+02,4.00E+00,2.00E+01,5.99E+02,1.98E+02,0.00E+00
1.83E+02,4.00E+00,2.00E+01,5.94E+02,2.45E+02,0.00E+00
1.84E+02,4.00E+00,2.00E+01,5.85E+02,2.67E+02,0.00E+00
1.85E+02,4.00E+00,2.00E+01,5.70E+02,2.31E+02,0.00E+00
1.86E+02,4.00E+00,2.00E+01,5.60E+02,1.97E+02,0.00E+00
1.87E+02,4.00E+00,2.00E+01,5.54E+02,1.69E+02,0.00E+00
1.88E+02,4.00E+00,2.00E+01,5.49E+02,1.45E+02,0.00E+00
1.89E+02,4.00E+00,2.00E+01,5.49E+02,1.27E+02,0.00E+00
1.90E+02,4.00E+00,2.00E+01,5.46E+02,1.15E+02,0.00E+00
1.91E+02,4.00E+00,2.00E+01,5.45E+02,1.05E+02,0.00E+00
