# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet
1.52E+02,0.00E+00,2.00E+01,8.11E+02,2.65E+02,0.00E+00
1.53E+02,0.00E+00,2.00E+01,8.42E+02,2.32E+02,0.00E+00
1.54E+02,0.00E+00,2.00E+01,8.84E+02,2.00E+02,0.00E+00
1.55E+02,0.00E+00,2.00E+01,9.38E+02,1.75E+02,0.00E+00
1.56E+02,0.00E+00,2.00E+01,9.69E+02,1.57E+02,0.00E+00
1.57E+02,0.00E+00,2.00E+01,9.90E+02,1.45E+02,0.00E+00
1.58E+02,0.00E+00,2.00E+01,9.92E+02,1.45E+02,0.00E+00
1.59E+02,0.00E+00,2.00E+01,9.84E+02,1.49E+02,0.00E+00
1.60E+02,0.00E+00,2.00E+01,9.67E+02,1.49E+02,0.00E+00
1.61E+02,0.00E+00,2.00E+01,9.71E+02,1.44E+02,0.00E+00
1.62E+02,0.00E+00,2.00E+01,9.50E+02,1.36E+02,0.00E+00
1.63E+02,0.00E+00,2.00E+01,9.32E+02,1.29E+02,0.00E+00
1.64E+02,0.00E+00,2.00E+01,9.15E+02,1.23E+02,0.00E+00
1.65E+02,0.00E+00,2.00E+01,9.03E+02,1.18E+02,0.00E+00
1.66E+02,0.00E+00,2.00E+01,8.91E+02,1.12E+02,0.00E+00
1.67E+02,0.00E+00,2.00E+01,8.87E+02,1.06E+02,0.00E+00
1.68E+02,0.00E+00,2.00E+01,8.89E+02,1.02E+02,0.00E+00
1.69E+02,0.00E+00,2.00E+01,8.98E+02,9.72E+01,0.00E+00
1.70E+02,0.00E+00,2.00E+01,9.23E+02,9.95E+01,0.00E+00
1.71E+02,0.00E+00,2.00E+01,9.64E+02,1.15E+02,0.00E+00
1.72E+02,0.00E+00,2.00E+01,1.05E+03,1.30E+02,0.00E+00
1.73E+02,0.00E+00,2.00E+01,1.08E+03,1.25E+02,0.00E+00
1.74E+02,0.00E+00,2.00E+01,1.09E+03,1.15E+02,0.00E+00
1.75E+02,0.00E+00,2.00E+01,1.06E+03,1.15E+02,0.00E+00
1.76E+02,0.00E+00,2.00E+01,1.05E+03,1.20E+02,0.00E+00
1.77E+02,0.00E+00,2.00E+01,1.00E+03,1.22E+02,0.00E+00
1.78E+02,0.00E+00,2.00E+01,9.77E+02,1.19E+02,0.00E+00
1.79E+02,0.00E+00,2.00E+01,9.76E+02,1.12E+02,0.00E+00
1.80E+02,0.00E+00,2.00E+01,9.83E+02,1.11E+02,0.00E+00
1.81E+02,0.00E+00,2.00E+01,9.77E+02,1.17E+02,0.00E+00
1.82E+02,0.00E+00,2.00E+01,9.68E+02,1.18E+02,0.00E+00
1.83E+02,0.00E+00,2.00E+01,9.57E+02,1.16E+02,0.00E+00
1.84E+02,0.00E+00,2.00E+01,9.37E+02,1.14E+02,0.00E+00
1.85E+02,0.00E+00,2.00E+01,9.39E+02,1.11E+02,0.00E+00
1.86E+02,0.00E+00,2.00E+01,9.30E+02,1.06E+02,0.00E+00
1.87E+02,0.00E+00,2.00E+01,9.27E+02,1.02E+02,0.00E+00
1.88E+02,0.00E+00,2.00E+01,9.17E+02,9.73E+01,0.00E+00
1.89E+02,0.00E+00,2.00E+01,9.09E+02,9.34E+01,0.00E+00
1.90E+02,0.00E+00,2.00E+01,9.16E+02,8.95E+01,0.00E+00
1.91E+02,0.00E+00,2.00E+01,9.35E+02,8.56E+01,0.00E+00
1.92E+02,0.00E+00,2.00E+01,9.65E+02,8.20E+01,0.00E+00
1.93E+02,0.00E+00,2.00E+01,9.73E+02,7.88E+01,0.00E+00
1.94E+02,0.00E+00,2.00E+01,1.01E+03,8.39E+01,0.00E+00
1.95E+02,0.00E+00,2.00E+01,1.04E+03,8.86E+01,0.00E+00
1.96E+02,0.00E+00,2.00E+01,1.09E+03,8.77E+01,0.00E+00
1.97E+02,0.00E+00,2.00E+01,1.11E+03,8.65E+01,0.00E+00
1.98E+02,0.00E+00,2.00E+01,1.10E+03,8.53E+01,0.00E+00
1.99E+02,0.00E+00,2.00E+01,1.07E+03,8.46E+01,0.00E+00
2.00E+02,0.00E+00,2.00E+01,1.03E+03,8.65E+01,0.00E+00
2.01E+02,0.00E+00,2.00E+01,9.91E+02,9.42E+01,0.00E+00
2.02E+02,0.00E+00,2.00E+01,9.29E+02,1.31E+02,0.00E+00
2.03E+02,0.00E+00,2.00E+01,8.76E+02,2.34E+02,0.00E+00
