# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet
2.39E+02,0.00E+00,2.00E+01,5.87E+02,9.89E+01,0.00E+00
2.40E+02,0.00E+00,2.00E+01,5.91E+02,9.66E+01,0.00E+00
2.41E+02,0.00E+00,2.00E+01,5.93E+02,9.65E+01,0.00E+00
2.42E+02,0.00E+00,2.00E+01,5.94E+02,9.75E+01,0.00E+00
2.43E+02,0.00E+00,2.00E+01,5.94E+02,1.01E+02,0.00E+00
2.44E+02,0.00E+00,2.00E+01,5.94E+02,1.08E+02,0.00E+00
2.45E+02,0.00E+00,2.00E+01,5.86E+02,1.11E+02,0.00E+00
2.46E+02,0.00E+00,2.00E+01,5.84E+02,1.10E+02,0.00E+00
2.47E+02,0.00E+00,2.00E+01,5.88E+02,1.07E+02,0.00E+00
2.48E+02,0.00E+00,2.00E+01,5.88E+02,1.08E+02,0.00E+00
