# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet,Lobith
1.520000000000000000e+02,0.000000000000000000e+00,1.875686416184971250e+01,9.356455202312138226e+02,1.910099999999999909e+02,3.631812138728323447e+01,1.278789999999999964e+03
1.530000000000000000e+02,0.000000000000000000e+00,2.133923410404624477e+01,9.903917630057803763e+02,5.038899999999999864e+02,4.313557803468207652e+01,1.350269999999999982e+03
1.540000000000000000e+02,0.000000000000000000e+00,2.374024566473988784e+01,1.041293208092485656e+03,4.665899999999999750e+02,4.947424855491329510e+01,1.416730000000000018e+03
1.550000000000000000e+02,0.000000000000000000e+00,2.659971098265896572e+01,1.101913872832370089e+03,3.008999999999999773e+02,5.702323699421965841e+01,1.495880000000000109e+03
1.560000000000000000e+02,0.000000000000000000e+00,6.027910891089105405e+01,1.213215138613861427e+03,2.050800000000000125e+02,9.893776237623758618e+01,1.664589999999999918e+03
1.570000000000000000e+02,0.000000000000000000e+00,9.884752475247520920e+01,1.263165940594059293e+03,1.566399999999999864e+02,1.408926732673266997e+02,1.759599999999999909e+03
1.580000000000000000e+02,0.000000000000000000e+00,9.807623762376239540e+01,1.262167029702970240e+03,1.308400000000000034e+02,1.400536633663366501e+02,1.757700000000000045e+03
1.590000000000000000e+02,0.000000000000000000e+00,1.011086138613861749e+02,1.266094326732673380e+03,1.131299999999999955e+02,1.433522970297030099e+02,1.765170000000000073e+03
1.600000000000000000e+02,0.000000000000000000e+00,1.028988118811880952e+02,1.268412851485148394e+03,1.001299999999999955e+02,1.452996831683167898e+02,1.769579999999999927e+03
1.610000000000000000e+02,0.000000000000000000e+00,9.002643564356432648e+01,1.251741554455445566e+03,9.096999999999999886e+01,1.312970495049504507e+02,1.737869999999999891e+03
1.620000000000000000e+02,0.000000000000000000e+00,6.713544554455447155e+01,1.222094930693069273e+03,8.415999999999999659e+01,1.063961188118811947e+02,1.681480000000000018e+03
1.630000000000000000e+02,0.000000000000000000e+00,2.868424855491329239e+01,1.146106069364161840e+03,7.867000000000000171e+01,6.252641618497109022e+01,1.553579999999999927e+03
1.640000000000000000e+02,0.000000000000000000e+00,2.515606936416185491e+01,1.071308670520231317e+03,7.382999999999999829e+01,5.321202312138728985e+01,1.455920000000000073e+03
1.650000000000000000e+02,0.000000000000000000e+00,2.149096820809248953e+01,9.936085260115605706e+02,6.968999999999999773e+01,4.353615606936416071e+01,1.354470000000000027e+03
1.660000000000000000e+02,0.000000000000000000e+00,1.916582369942196351e+01,9.443154624277456151e+02,6.668000000000000682e+01,3.739777456647397713e+01,1.290109999999999900e+03
1.670000000000000000e+02,0.000000000000000000e+00,1.738005780346821183e+01,9.064572254335259913e+02,6.465999999999999659e+01,3.268335260115607355e+01,1.240680000000000064e+03
1.680000000000000000e+02,0.000000000000000000e+00,1.554407514450866756e+01,8.675343930635837069e+02,6.277000000000000313e+01,2.783635838150287967e+01,1.189859999999999900e+03
1.690000000000000000e+02,0.000000000000000000e+00,1.403576589595375346e+01,8.355582369942195555e+02,6.175000000000000000e+01,2.385442196531790771e+01,1.148109999999999900e+03
1.700000000000000000e+02,0.000000000000000000e+00,1.269978323699422518e+01,8.072354046242775212e+02,6.060999999999999943e+01,2.032742774566474964e+01,1.111130000000000109e+03
1.710000000000000000e+02,0.000000000000000000e+00,1.166401734104046461e+01,7.852771676300578747e+02,5.882999999999999829e+01,1.759300578034682161e+01,1.082460000000000036e+03
1.720000000000000000e+02,0.000000000000000000e+00,1.075758670520230886e+01,7.660608381502888733e+02,5.725999999999999801e+01,0.000000000000000000e+00,1.057369999999999891e+03
1.730000000000000000e+02,0.000000000000000000e+00,1.007695086705202314e+01,7.516313583815028778e+02,5.647999999999999687e+01,0.000000000000000000e+00,1.038529999999999973e+03
1.740000000000000000e+02,2.000000000000000000e+00,9.359465317919074323e+00,7.344206647398843870e+02,5.604999999999999716e+01,0.000000000000000000e+00,1.018669999999999959e+03
1.750000000000000000e+02,2.000000000000000000e+00,9.023843930635838007e+00,7.273054913294797643e+02,5.518999999999999773e+01,0.000000000000000000e+00,1.009379999999999995e+03
1.760000000000000000e+02,2.000000000000000000e+00,9.007586705202310640e+00,7.269608381502889642e+02,5.397999999999999687e+01,0.000000000000000000e+00,1.008929999999999950e+03
1.770000000000000000e+02,2.000000000000000000e+00,8.683164739884395189e+00,7.200830924855491730e+02,5.260999999999999943e+01,0.000000000000000000e+00,9.999500000000000455e+02
1.780000000000000000e+02,2.000000000000000000e+00,7.850072254335259458e+00,7.024215317919074550e+02,5.128999999999999915e+01,0.000000000000000000e+00,9.768899999999999864e+02
1.790000000000000000e+02,2.000000000000000000e+00,7.238800578034682687e+00,6.894625722543353277e+02,5.015999999999999659e+01,0.000000000000000000e+00,9.599700000000000273e+02
1.800000000000000000e+02,2.000000000000000000e+00,6.230491329479766804e+00,6.680864161849710854e+02,4.935999999999999943e+01,0.000000000000000000e+00,9.320599999999999454e+02
1.810000000000000000e+02,2.000000000000000000e+00,5.611994219653181126e+00,6.549742774566474282e+02,4.877000000000000313e+01,0.000000000000000000e+00,9.149400000000000546e+02
1.820000000000000000e+02,2.000000000000000000e+00,5.223265895953755233e+00,6.467332369942196237e+02,4.814999999999999858e+01,0.000000000000000000e+00,9.041799999999999500e+02
1.830000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,6.360978124999999181e+02,4.749000000000000199e+01,0.000000000000000000e+00,8.909299999999999500e+02
1.840000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,6.180656696428571877e+02,4.679999999999999716e+01,0.000000000000000000e+00,8.693300000000000409e+02
1.850000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,6.063113839285714448e+02,4.604999999999999716e+01,0.000000000000000000e+00,8.552500000000000000e+02
1.860000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.983972767857142117e+02,4.536999999999999744e+01,0.000000000000000000e+00,8.457699999999999818e+02
1.870000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.905416071428571740e+02,4.485999999999999943e+01,0.000000000000000000e+00,8.363600000000000136e+02
1.880000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,5.940311607142857611e+02,4.459000000000000341e+01,0.000000000000000000e+00,8.405399999999999636e+02
