# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet,Lobith
2.340000000000000000e+02,0.000000000000000000e+00,2.128143063583815575e+01,9.891663294797688195e+02,6.898000000000000398e+01,4.298297687861271754e+01,1.348670000000000073e+03
2.350000000000000000e+02,0.000000000000000000e+00,1.921134393063583445e+01,9.452804913294796734e+02,6.554000000000000625e+01,3.751794797687860239e+01,1.291369999999999891e+03
2.360000000000000000e+02,0.000000000000000000e+00,1.747001445086705473e+01,9.083643063583815547e+02,6.321999999999999886e+01,3.292083815028902194e+01,1.243170000000000073e+03
2.370000000000000000e+02,0.000000000000000000e+00,1.635296242774566622e+01,8.846828034682080215e+02,6.128999999999999915e+01,2.997182080924855185e+01,1.212250000000000000e+03
2.380000000000000000e+02,0.000000000000000000e+00,1.477456647398843792e+01,8.512208092485548150e+02,5.917000000000000171e+01,2.580485549132947298e+01,1.168559999999999945e+03
2.390000000000000000e+02,0.000000000000000000e+00,1.254046242774566622e+01,8.038578034682080897e+02,5.700000000000000000e+01,1.990682080924855768e+01,1.106720000000000027e+03
2.400000000000000000e+02,0.000000000000000000e+00,1.170267341040462483e+01,7.860966763005779967e+02,5.510999999999999943e+01,1.769505780346820600e+01,1.083529999999999973e+03
2.410000000000000000e+02,0.000000000000000000e+00,1.132839595375722830e+01,7.781619942196532520e+02,5.449000000000000199e+01,0.000000000000000000e+00,1.073170000000000073e+03
2.420000000000000000e+02,0.000000000000000000e+00,1.126192196531791723e+01,7.767527456647397912e+02,5.540999999999999659e+01,0.000000000000000000e+00,1.071329999999999927e+03
2.430000000000000000e+02,0.000000000000000000e+00,1.079696531791907788e+01,7.668956647398844098e+02,5.606000000000000227e+01,0.000000000000000000e+00,1.058460000000000036e+03
