# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet,Lobith
2.130000000000000000e+02,0.000000000000000000e+00,2.230491329479768936e+01,1.010864161849710854e+03,4.132000000000000028e+01,4.568497109826589053e+01,1.377000000000000000e+03
2.140000000000000000e+02,0.000000000000000000e+00,2.441582369942197062e+01,1.055615462427745570e+03,4.089000000000000057e+01,5.125777456647399077e+01,1.435430000000000064e+03
2.150000000000000000e+02,0.000000000000000000e+00,2.562680635838150778e+01,1.081288294797687968e+03,4.025999999999999801e+01,5.445476878612716831e+01,1.468950000000000045e+03
2.160000000000000000e+02,0.000000000000000000e+00,2.596134393063584156e+01,1.088380491329479810e+03,3.957000000000000028e+01,5.533794797687860978e+01,1.478210000000000036e+03
2.170000000000000000e+02,0.000000000000000000e+00,2.583020231213872719e+01,1.085600289017340856e+03,3.907999999999999829e+01,5.499173410404623041e+01,1.474579999999999927e+03
2.180000000000000000e+02,0.000000000000000000e+00,2.487174855491329595e+01,1.065281069364161795e+03,3.871999999999999886e+01,5.246141618497109249e+01,1.448049999999999955e+03
2.190000000000000000e+02,0.000000000000000000e+00,2.278070809248555406e+01,1.020951011560693587e+03,3.821999999999999886e+01,4.694106936416185505e+01,1.390170000000000073e+03
2.200000000000000000e+02,0.000000000000000000e+00,2.032695086705202669e+01,9.689313583815028323e+02,3.796000000000000085e+01,4.046315028901733513e+01,1.322250000000000000e+03
2.210000000000000000e+02,0.000000000000000000e+00,1.845014450867051892e+01,9.291430635838149783e+02,3.809000000000000341e+01,3.550838150289016681e+01,1.270299999999999955e+03
2.220000000000000000e+02,0.000000000000000000e+00,1.759140173410404628e+01,9.109377167630057102e+02,3.865999999999999659e+01,3.324130057803467508e+01,1.246529999999999973e+03
2.230000000000000000e+02,0.000000000000000000e+00,1.660404624277456875e+01,8.900057803468208704e+02,3.918999999999999773e+01,3.063468208092485767e+01,1.219200000000000045e+03
2.240000000000000000e+02,0.000000000000000000e+00,1.572218208092485447e+01,8.713102601156068658e+02,3.899000000000000199e+01,2.830656069364161453e+01,1.194789999999999964e+03
2.250000000000000000e+02,0.000000000000000000e+00,1.449927745664740186e+01,8.453846820809249039e+02,3.824000000000000199e+01,2.507809248554913495e+01,1.160940000000000055e+03
2.260000000000000000e+02,0.000000000000000000e+00,1.385838150289017534e+01,8.317976878612716973e+02,3.735000000000000142e+01,2.338612716763006105e+01,1.143200000000000045e+03
2.270000000000000000e+02,0.000000000000000000e+00,1.364378612716762973e+01,8.272482658959537503e+02,3.652000000000000313e+01,2.281959537572254249e+01,1.137259999999999991e+03
2.280000000000000000e+02,0.000000000000000000e+00,1.420014450867052425e+01,8.390430635838150693e+02,3.590999999999999659e+01,2.428838150289017861e+01,1.152660000000000082e+03
2.290000000000000000e+02,0.000000000000000000e+00,1.545231213872832221e+01,8.655890173410404032e+02,3.571000000000000085e+01,2.759410404624276580e+01,1.187319999999999936e+03
2.300000000000000000e+02,2.000000000000000000e+00,1.536560693641618869e+01,8.617508670520231817e+02,3.552000000000000313e+01,2.736520231213873444e+01,1.184920000000000073e+03
2.310000000000000000e+02,2.000000000000000000e+00,1.377456647398844325e+01,8.280208092485549969e+02,3.539000000000000057e+01,2.316485549132949018e+01,1.140880000000000109e+03
2.320000000000000000e+02,2.000000000000000000e+00,1.241437861271676368e+01,7.991848265895953318e+02,3.621000000000000085e+01,1.957395953757225371e+01,1.103230000000000018e+03
2.330000000000000000e+02,2.000000000000000000e+00,1.137500000000000178e+01,7.771500000000000909e+02,3.768999999999999773e+01,1.683000000000000185e+01,1.074460000000000036e+03
2.340000000000000000e+02,2.000000000000000000e+00,8.839234104046242990e+00,7.233917630057803763e+02,4.096000000000000085e+01,0.000000000000000000e+00,1.004269999999999982e+03
2.350000000000000000e+02,2.000000000000000000e+00,8.193641618497109036e+00,7.097052023121386810e+02,4.402000000000000313e+01,0.000000000000000000e+00,9.863999999999999773e+02
2.360000000000000000e+02,2.000000000000000000e+00,7.764450867052023142e+00,7.006063583815029006e+02,4.296999999999999886e+01,0.000000000000000000e+00,9.745199999999999818e+02
