# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet,Lobith
1.520000000000000000e+02,2.000000000000000000e+00,3.078076936816667342e+01,1.342495902861405739e+03,3.414036810555942338e+02,1.440572931418401197e+02,1.843717847802162851e+03
1.530000000000000000e+02,2.000000000000000000e+00,1.305903670574560067e+02,1.376776445029497381e+03,3.077181221834220537e+02,1.425021270156472042e+02,2.010203018315337431e+03
1.540000000000000000e+02,2.000000000000000000e+00,2.542066685052487856e+02,1.469549377585095272e+03,2.033321508594185900e+02,2.329049522502281775e+02,2.336371951378398080e+03
1.550000000000000000e+02,2.000000000000000000e+00,3.585598625734365896e+02,1.616613474752986349e+03,1.490747194677995822e+02,4.190747306163860344e+02,2.515944441807965632e+03
1.560000000000000000e+02,2.000000000000000000e+00,3.626563271849809098e+02,1.609355066396622533e+03,9.347271057028287089e+01,6.377145034673048940e+02,2.284372353139449842e+03
1.570000000000000000e+02,2.000000000000000000e+00,2.669592870250801298e+02,1.511999496279463528e+03,9.591937426126213495e+01,5.319857694662191534e+02,2.088743118246670292e+03
1.580000000000000000e+02,2.000000000000000000e+00,1.731913161408871247e+02,1.437592705478784410e+03,1.296000045741442932e+02,3.608271724655511434e+02,1.957028119953084797e+03
1.590000000000000000e+02,2.000000000000000000e+00,1.252442950552054697e+02,1.398844788091443206e+03,1.261710353406581078e+02,2.725450104473623583e+02,1.915543359257037991e+03
1.600000000000000000e+02,2.000000000000000000e+00,1.187804161689177533e+02,1.386849305341010222e+03,1.073279227265510372e+02,2.354318232294420170e+02,1.926302154407248054e+03
1.610000000000000000e+02,2.000000000000000000e+00,1.402697960486546265e+02,1.392922015021779771e+03,1.038979806144627673e+02,2.091066727581951454e+02,1.980224660425007187e+03
1.620000000000000000e+02,2.000000000000000000e+00,2.014229594773040617e+02,1.428713735480014066e+03,9.006729311715616859e+01,2.338560302024451119e+02,2.081851506860401969e+03
1.630000000000000000e+02,2.000000000000000000e+00,2.410736473464518212e+02,1.464313946068162522e+03,2.434010795506374620e+02,3.296595269869408753e+02,2.149673929614465578e+03
1.640000000000000000e+02,2.000000000000000000e+00,2.771552114158678251e+02,1.490930144240473510e+03,3.003501208535465707e+02,3.978056197006107482e+02,2.211422174145986901e+03
1.650000000000000000e+02,2.000000000000000000e+00,3.416751504688671162e+02,1.577057479819951141e+03,2.536157535953064723e+02,4.641710516564525051e+02,2.554613122074345938e+03
1.660000000000000000e+02,2.000000000000000000e+00,3.940241036150635523e+02,1.698306810419093154e+03,1.910218714359123169e+02,6.818088099212972111e+02,2.587001653456774875e+03
1.670000000000000000e+02,2.000000000000000000e+00,3.901107611103823274e+02,1.672944924351275858e+03,1.351081213119405220e+02,8.467432242178964543e+02,2.467930130539945367e+03
1.680000000000000000e+02,2.000000000000000000e+00,3.586051341518528375e+02,1.630722984188826558e+03,1.473829118664962721e+02,7.150201386257771219e+02,2.436779097956389705e+03
1.690000000000000000e+02,2.000000000000000000e+00,3.487204916581334828e+02,1.620542855525375899e+03,1.044278391940435284e+02,6.524653384807425027e+02,2.403868413592887464e+03
1.700000000000000000e+02,2.000000000000000000e+00,3.350061535841493878e+02,1.581969553210257118e+03,7.864055538634698905e+01,5.949444386379592515e+02,2.250703567750578259e+03
1.710000000000000000e+02,2.000000000000000000e+00,2.682637314300623643e+02,1.508152764994713380e+03,7.643729705479034919e+01,6.110187128183511049e+02,2.085280951274658946e+03
1.720000000000000000e+02,2.000000000000000000e+00,1.629152688366084476e+02,1.437574158265921824e+03,7.548943665646079637e+01,2.880430587730763250e+02,1.968031378034139379e+03
1.730000000000000000e+02,2.000000000000000000e+00,8.530637014476691604e+01,1.398245135776179495e+03,6.677187730705108493e+01,2.612046980643983716e+02,1.899879155811328928e+03
1.740000000000000000e+02,2.000000000000000000e+00,5.319343632599589000e+01,1.366972161949679048e+03,5.827687602723967331e+01,2.524964425710896876e+02,1.818911591739649111e+03
