# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet
234,2,40.42825094,640.5654203,58.19166975,-4.56603E-15
235,2,26.11806081,642.2087324,56.4781847,1.56164E-15
236,2,30.62395946,643.4160472,39.30401323,-3.263E-15
237,2,33.84979711,655.2554241,32.79785396,6.04693E-16
238,2,34.23722046,652.8028797,29.54124974,8.34669E-16
239,2,34.75937421,638.672105,51.06447571,2.31221E-15
240,2,33.82950012,639.3515316,57.92602534,2.50876E-16
241,2,37.75527633,643.9029245,65.94888313,1.20332E-15
242,2,37.52249923,661.4381127,68.58916716,4.66434E-15
243,2,37.89666262,682.8747344,62.29882839,2.76738E-16
