# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet,Lobith
213,2,0.864217962,751.610557,42.58915202,4.64318E-15,983.6031142
214,2,0.690091377,742.2518621,31.22243373,-1.53882E-15,968.0863117
215,2,2.490795269,725.6027055,25.63339961,-1.86297E-15,951.6863838
216,2,1.711787198,715.1062369,35.32680675,3.60922E-15,942.8270773
217,2,3.893146234,707.3354846,28.23986143,-6.98674E-16,934.1730432
218,2,24.71487036,683.995266,40.21445581,6.38482E-17,919.3115962
219,2,29.73838918,672.2207594,54.48041747,-1.15766E-15,911.7454929
220,2,31.5370358,667.405424,73.56278773,-7.53391E-16,911.383394
221,2,28.44270671,666.0101482,74.10646456,-2.13768E-15,907.7761826
222,2,30.17416929,675.9306929,65.3806765,1.76162E-16,905.9997901
223,2,39.71868793,686.3376404,63.40758037,-4.27732E-15,915.2634135
224,2,39.7476418,670.5833206,56.45353093,-4.10195E-15,913.7261044
225,2,39.1931165,656.6224338,65.10666804,-2.71134E-15,917.1515363
226,2,39.13069226,671.454876,72.73618806,2.49338E-15,951.8118131
227,2,38.07715377,689.9086806,55.63650379,3.7608E-15,953.3370193
228,2,35.40596403,690.7901391,60.5908585,4.51429E-15,935.914855
229,2,40.0875736,689.9954114,79.48838923,-7.26679E-16,935.9464506
230,2,39.17715057,676.774026,61.25992546,3.06946E-15,936.942361
231,2,37.96340448,678.2990225,51.66356129,-3.53201E-15,918.3524886
232,2,42.10034749,659.8161196,66.19486119,-2.3002E-15,898.75665
233,2,32.84015305,647.6751082,59.78818483,-9.42052E-16,890.896259
234,2,40.42825094,640.5654203,58.19166975,-4.56603E-15,890.9109133
235,2,26.11806081,642.2087324,56.4781847,1.56164E-15,877.159016
236,2,30.62395946,643.4160472,39.30401323,-3.263E-15,873.1770056
237,2,33.84979711,655.2554241,32.79785396,6.04693E-16,865.0522928
238,2,34.23722046,652.8028797,29.54124974,8.34669E-16,855.8886564
239,2,34.75937421,638.672105,51.06447571,2.31221E-15,857.0268391
240,2,33.82950012,639.3515316,57.92602534,2.50876E-16,871.8532882
241,2,37.75527633,643.9029245,65.94888313,1.20332E-15,891.9811234
242,2,37.52249923,661.4381127,68.58916716,4.66434E-15,928.7315624
243,2,37.89666262,682.8747344,62.29882839,2.76738E-16,961.4320061
244,2,40.01849836,696.2357028,70.53569706,-2.69289E-15,947.1327764
245,2,41.51729676,693.8720666,60.80540039,-1.16255E-15,922.6909352
246,2,42.72123998,672.0853389,35.13403293,-4.67235E-15,895.3922235
247,2,37.81704702,667.8044423,39.20074234,-1.77002E-15,909.8286949
248,2,39.17593367,681.3119637,31.73611801,-3.51033E-15,957.6340725
249,2,34.61737118,723.7727333,60.72295118,1.61887E-15,1030.243256
250,2,23.05345036,782.7413006,79.53027552,-1.57627E-15,1081.530221
251,2,16.95826548,831.3505698,61.43013087,8.09549E-16,1061.90282
252,2,12.59034799,826.6642888,54.19339806,-2.9966E-15,1023.954983
253,2,20.40527351,801.357967,47.9339403,-2.4606E-15,1015.082487
254,2,17.60335404,783.2043702,47.49507865,1.5675E-15,1007.860953
255,2,17.83256805,776.3751365,38.73554407,3.55884E-15,993.2766711
256,2,14.90634142,769.3962603,20.97053799,-1.72892E-15,982.107203
257,2,7.625862657,762.1928548,28.31640906,-3.04491E-16,968.2799389
258,2,19.88680167,749.8093007,29.27415614,6.84766E-16,952.0474668
