# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet
213,2,0.864217962,751.610557,42.58915202,4.64318E-15
214,2,0.690091377,742.2518621,31.22243373,-1.53882E-15
215,2,2.490795269,725.6027055,25.63339961,-1.86297E-15
216,2,1.711787198,715.1062369,35.32680675,3.60922E-15
217,2,3.893146234,707.3354846,28.23986143,-6.98674E-16
218,2,24.71487036,683.995266,40.21445581,6.38482E-17
219,2,29.73838918,672.2207594,54.48041747,-1.15766E-15
220,2,31.5370358,667.405424,73.56278773,-7.53391E-16
221,2,28.44270671,666.0101482,74.10646456,-2.13768E-15
222,2,30.17416929,675.9306929,65.3806765,1.76162E-16
223,2,39.71868793,686.3376404,63.40758037,-4.27732E-15
224,2,39.7476418,670.5833206,56.45353093,-4.10195E-15
225,2,39.1931165,656.6224338,65.10666804,-2.71134E-15
226,2,39.13069226,671.454876,72.73618806,2.49338E-15
227,2,38.07715377,689.9086806,55.63650379,3.7608E-15
228,2,35.40596403,690.7901391,60.5908585,4.51429E-15
229,2,40.0875736,689.9954114,79.48838923,-7.26679E-16
230,2,39.17715057,676.774026,61.25992546,3.06946E-15
231,2,37.96340448,678.2990225,51.66356129,-3.53201E-15
232,2,42.10034749,659.8161196,66.19486119,-2.3002E-15
233,2,32.84015305,647.6751082,59.78818483,-9.42052E-16
234,2,40.42825094,640.5654203,58.19166975,-4.56603E-15
235,2,26.11806081,642.2087324,56.4781847,1.56164E-15
236,2,30.62395946,643.4160472,39.30401323,-3.263E-15
237,2,33.84979711,655.2554241,32.79785396,6.04693E-16
238,2,34.23722046,652.8028797,29.54124974,8.34669E-16
239,2,34.75937421,638.672105,51.06447571,2.31221E-15
240,2,33.82950012,639.3515316,57.92602534,2.50876E-16
241,2,37.75527633,643.9029245,65.94888313,1.20332E-15
242,2,37.52249923,661.4381127,68.58916716,4.66434E-15
243,2,37.89666262,682.8747344,62.29882839,2.76738E-16
