# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet,Lobith
1.520000000000000000e+02,0.000000000000000000e+00,1.148415841584158414e+02,1.283880198019802037e+03,3.800000000000000000e+01,1.582910891089109100e+02,1.799000000000000000e+03
1.530000000000000000e+02,0.000000000000000000e+00,1.042871287128712936e+02,1.270210891089108827e+03,2.000000000000000000e+01,1.468099009900990097e+02,1.773000000000000000e+03
1.540000000000000000e+02,0.000000000000000000e+00,1.042871287128712936e+02,1.270210891089108827e+03,1.700000000000000000e+01,1.468099009900990097e+02,1.773000000000000000e+03
1.550000000000000000e+02,0.000000000000000000e+00,1.253960396039604035e+02,1.297549504950495020e+03,3.300000000000000000e+01,1.697722772277227818e+02,1.825000000000000000e+03
1.560000000000000000e+02,0.000000000000000000e+00,1.371683168316831711e+02,1.312796039603960480e+03,4.700000000000000000e+01,1.825782178217821752e+02,1.854000000000000000e+03
1.570000000000000000e+02,0.000000000000000000e+00,1.440693069306930738e+02,1.321733663366336714e+03,4.100000000000000000e+01,1.900851485148514826e+02,1.871000000000000000e+03
1.580000000000000000e+02,0.000000000000000000e+00,1.566534653465346594e+02,1.338031683168316931e+03,3.400000000000000000e+01,2.037742574257425758e+02,1.902000000000000000e+03
1.590000000000000000e+02,0.000000000000000000e+00,1.931881188118811963e+02,1.385348514851485106e+03,2.300000000000000000e+01,2.435168316831683057e+02,1.992000000000000000e+03
1.600000000000000000e+02,0.000000000000000000e+00,2.228217821782178305e+02,1.423727722772277275e+03,5.300000000000000000e+01,2.757524752475247851e+02,2.065000000000000000e+03
1.610000000000000000e+02,0.000000000000000000e+00,2.345940594059406124e+02,1.438974257425742508e+03,5.100000000000000000e+01,2.885584158415841785e+02,2.094000000000000000e+03
1.620000000000000000e+02,0.000000000000000000e+00,2.256633663366336862e+02,1.427407920792079267e+03,5.500000000000000000e+01,2.788435643564356496e+02,2.072000000000000000e+03
1.630000000000000000e+02,0.000000000000000000e+00,2.751881188118811679e+02,1.491548514851485152e+03,3.900000000000000000e+01,3.327168316831683228e+02,2.194000000000000000e+03
1.640000000000000000e+02,0.000000000000000000e+00,3.580000000000000000e+02,1.598799999999999955e+03,1.700000000000000000e+01,4.228000000000000114e+02,2.398000000000000000e+03
1.650000000000000000e+02,0.000000000000000000e+00,3.872277227722772750e+02,1.636653465346534631e+03,2.300000000000000000e+01,4.545940594059405839e+02,2.470000000000000000e+03
1.660000000000000000e+02,0.000000000000000000e+00,4.274158415841584429e+02,1.688701980198019783e+03,2.000000000000000000e+01,4.983108910891089067e+02,2.569000000000000000e+03
1.670000000000000000e+02,0.000000000000000000e+00,4.712572815533980588e+02,1.790924271844660097e+03,3.600000000000000000e+01,7.301359223300970598e+02,2.737000000000000000e+03
1.680000000000000000e+02,0.000000000000000000e+00,5.075339805825242934e+02,1.890646601941747576e+03,3.600000000000000000e+01,9.833009708737863548e+02,2.896000000000000000e+03
1.690000000000000000e+02,0.000000000000000000e+00,5.102718446601941764e+02,1.898172815533980611e+03,4.200000000000000000e+01,1.002407766990291293e+03,2.908000000000000000e+03
1.700000000000000000e+02,0.000000000000000000e+00,4.888252427184465887e+02,1.839217475728155250e+03,4.600000000000000000e+01,8.527378640776698830e+02,2.814000000000000000e+03
1.710000000000000000e+02,0.000000000000000000e+00,4.431941747572815302e+02,1.713780582524271949e+03,7.200000000000000000e+01,5.342912621359223522e+02,2.614000000000000000e+03
1.720000000000000000e+02,0.000000000000000000e+00,4.022475247524752717e+02,1.656105940594059348e+03,8.300000000000000000e+01,4.709326732673267202e+02,2.507000000000000000e+03
1.730000000000000000e+02,0.000000000000000000e+00,4.261980198019802515e+02,1.687124752475247533e+03,7.800000000000000000e+01,4.969861386138613852e+02,2.566000000000000000e+03
1.740000000000000000e+02,0.000000000000000000e+00,4.282277227722772750e+02,1.689753465346534540e+03,5.100000000000000000e+01,4.991940594059406067e+02,2.571000000000000000e+03
1.750000000000000000e+02,0.000000000000000000e+00,3.957524752475247851e+02,1.647694059405940607e+03,4.600000000000000000e+01,4.638673267326732912e+02,2.491000000000000000e+03
1.760000000000000000e+02,0.000000000000000000e+00,3.726138613861386375e+02,1.617726732673267406e+03,9.600000000000000000e+01,4.386970297029703261e+02,2.434000000000000000e+03
1.770000000000000000e+02,0.000000000000000000e+00,3.234950495049504866e+02,1.554111881188118787e+03,5.400000000000000000e+01,3.852653465346534745e+02,2.313000000000000000e+03
1.780000000000000000e+02,0.000000000000000000e+00,2.861485148514851744e+02,1.505743564356435627e+03,5.500000000000000000e+01,3.446396039603960162e+02,2.221000000000000000e+03
1.790000000000000000e+02,0.000000000000000000e+00,2.642277227722772750e+02,1.477353465346534676e+03,8.400000000000000000e+01,3.207940594059406294e+02,2.167000000000000000e+03
1.800000000000000000e+02,0.000000000000000000e+00,2.459603960396039781e+02,1.453695049504950475e+03,6.900000000000000000e+01,3.009227722772277502e+02,2.122000000000000000e+03
1.810000000000000000e+02,0.000000000000000000e+00,2.638217821782178589e+02,1.476827722772277184e+03,3.300000000000000000e+01,3.203524752475247510e+02,2.166000000000000000e+03
1.820000000000000000e+02,0.000000000000000000e+00,2.954851485148515167e+02,1.517835643564356360e+03,1.050000000000000000e+02,3.547960396039604234e+02,2.244000000000000000e+03
1.830000000000000000e+02,0.000000000000000000e+00,3.088811881188119060e+02,1.535185148514851562e+03,2.800000000000000000e+01,3.693683168316831598e+02,2.277000000000000000e+03
1.840000000000000000e+02,0.000000000000000000e+00,3.072574257425742985e+02,1.533082178217821820e+03,4.000000000000000000e+01,3.676019801980198167e+02,2.273000000000000000e+03
1.850000000000000000e+02,0.000000000000000000e+00,3.287722772277227818e+02,1.560946534653465278e+03,2.300000000000000000e+01,3.910059405940593820e+02,2.326000000000000000e+03
1.860000000000000000e+02,0.000000000000000000e+00,3.344554455445544932e+02,1.568306930693069262e+03,2.500000000000000000e+01,3.971881188118811679e+02,2.340000000000000000e+03
1.870000000000000000e+02,0.000000000000000000e+00,3.368910891089109327e+02,1.571461386138613761e+03,1.500000000000000000e+01,3.998376237623762677e+02,2.346000000000000000e+03
1.880000000000000000e+02,0.000000000000000000e+00,3.385148514851485402e+02,1.573564356435643504e+03,1.700000000000000000e+01,4.016039603960396107e+02,2.350000000000000000e+03
1.890000000000000000e+02,0.000000000000000000e+00,3.523168316831683455e+02,1.591439603960396198e+03,2.000000000000000000e+01,4.166178217821782255e+02,2.384000000000000000e+03
1.900000000000000000e+02,0.000000000000000000e+00,3.636831683168317113e+02,1.606160396039603938e+03,1.500000000000000000e+01,4.289821782178217973e+02,2.412000000000000000e+03
1.910000000000000000e+02,0.000000000000000000e+00,3.612475247524752717e+02,1.603005940594059439e+03,3.200000000000000000e+01,4.263326732673267543e+02,2.406000000000000000e+03
1.920000000000000000e+02,0.000000000000000000e+00,3.644950495049505435e+02,1.607211881188118696e+03,2.300000000000000000e+01,4.298653465346534404e+02,2.414000000000000000e+03
1.930000000000000000e+02,0.000000000000000000e+00,3.498811881188119060e+02,1.588285148514851471e+03,6.000000000000000000e+00,4.139683168316831825e+02,2.378000000000000000e+03
1.940000000000000000e+02,0.000000000000000000e+00,3.145643564356435604e+02,1.542545544554455546e+03,7.000000000000000000e+00,3.755504950495049457e+02,2.291000000000000000e+03
1.950000000000000000e+02,0.000000000000000000e+00,3.023861386138614193e+02,1.526773267326732821e+03,6.000000000000000000e+00,3.623029702970297308e+02,2.261000000000000000e+03
