# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet,Lobith
2.340000000000000000e+02,0.000000000000000000e+00,7.668316831683168289e+01,1.234460396039603893e+03,1.360000000000000000e+02,1.167821782178217802e+02,1.705000000000000000e+03
2.350000000000000000e+02,0.000000000000000000e+00,5.557425742574257299e+01,1.207121782178217927e+03,2.800000000000000000e+01,9.381980198019802231e+01,1.653000000000000000e+03
2.360000000000000000e+02,0.000000000000000000e+00,3.933663366336633516e+01,1.186092079207920733e+03,1.800000000000000000e+01,7.615643564356435036e+01,1.613000000000000000e+03
2.370000000000000000e+02,0.000000000000000000e+00,2.714595375722543480e+01,1.113494219653179243e+03,3.100000000000000000e+01,5.846531791907514020e+01,1.511000000000000000e+03
2.380000000000000000e+02,0.000000000000000000e+00,2.465317919075144815e+01,1.060647398843930659e+03,3.100000000000000000e+01,5.188439306358381486e+01,1.442000000000000000e+03
2.390000000000000000e+02,0.000000000000000000e+00,2.656791907514450912e+01,1.101239884393063676e+03,7.700000000000000000e+01,5.693930635838150067e+01,1.495000000000000000e+03
2.400000000000000000e+02,0.000000000000000000e+00,4.623762376237623783e+01,1.195029702970296967e+03,4.700000000000000000e+01,8.366336633663365774e+01,1.630000000000000000e+03
2.410000000000000000e+02,0.000000000000000000e+00,9.089108910891090432e+01,1.252861386138613852e+03,4.200000000000000000e+01,1.322376237623762449e+02,1.740000000000000000e+03
2.420000000000000000e+02,0.000000000000000000e+00,8.074257425742574412e+01,1.239717821782178135e+03,1.200000000000000000e+01,1.211980198019801946e+02,1.715000000000000000e+03
2.430000000000000000e+02,0.000000000000000000e+00,5.232673267326732969e+01,1.202915841584158443e+03,2.500000000000000000e+01,9.028712871287129360e+01,1.645000000000000000e+03
