# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet,Lobith
1.970000000000000000e+02,0.000000000000000000e+00,2.443641618497110102e+01,1.056052023121387265e+03,2.000000000000000000e+01,5.131213872832369560e+01,1.436000000000000000e+03
1.980000000000000000e+02,0.000000000000000000e+00,3.324752475247525041e+01,1.178205940594059484e+03,6.000000000000000000e+00,6.953267326732672871e+01,1.598000000000000000e+03
1.990000000000000000e+02,0.000000000000000000e+00,1.217425742574257441e+02,1.292817821782178271e+03,1.200000000000000000e+01,1.657980198019802174e+02,1.816000000000000000e+03
2.000000000000000000e+02,0.000000000000000000e+00,1.306732673267326845e+02,1.304384158415841512e+03,2.300000000000000000e+01,1.755128712871287178e+02,1.838000000000000000e+03
2.010000000000000000e+02,0.000000000000000000e+00,1.103762376237623783e+02,1.278097029702970303e+03,2.000000000000000000e+01,1.534336633663366456e+02,1.788000000000000000e+03
2.020000000000000000e+02,0.000000000000000000e+00,1.030693069306930738e+02,1.268633663366336577e+03,3.100000000000000000e+01,1.454851485148514882e+02,1.770000000000000000e+03
2.030000000000000000e+02,0.000000000000000000e+00,1.128118811881188179e+02,1.281251485148514803e+03,3.100000000000000000e+01,1.560831683168316886e+02,1.794000000000000000e+03
2.040000000000000000e+02,0.000000000000000000e+00,1.420396039603960503e+02,1.319104950495049479e+03,7.600000000000000000e+01,1.878772277227722611e+02,1.866000000000000000e+03
2.050000000000000000e+02,0.000000000000000000e+00,1.858811881188119060e+02,1.375885148514851608e+03,2.800000000000000000e+01,2.355683168316831768e+02,1.974000000000000000e+03
2.060000000000000000e+02,0.000000000000000000e+00,2.248514851485148540e+02,1.426356435643564282e+03,2.500000000000000000e+01,2.779603960396039497e+02,2.070000000000000000e+03
2.070000000000000000e+02,0.000000000000000000e+00,2.134851485148514882e+02,1.411635643564356542e+03,3.100000000000000000e+01,2.655960396039604348e+02,2.042000000000000000e+03
2.080000000000000000e+02,0.000000000000000000e+00,1.927821782178217802e+02,1.384822772277227614e+03,1.500000000000000000e+01,2.430752475247524842e+02,1.991000000000000000e+03
2.090000000000000000e+02,0.000000000000000000e+00,1.992772277227722952e+02,1.393234653465346582e+03,2.500000000000000000e+01,2.501405940594059416e+02,2.007000000000000000e+03
2.100000000000000000e+02,0.000000000000000000e+00,1.996831683168316829e+02,1.393760396039604075e+03,5.900000000000000000e+01,2.505821782178217916e+02,2.008000000000000000e+03
2.110000000000000000e+02,0.000000000000000000e+00,1.842574257425742701e+02,1.373782178217821865e+03,2.800000000000000000e+01,2.338019801980198054e+02,1.970000000000000000e+03
2.120000000000000000e+02,0.000000000000000000e+00,1.477227722772277332e+02,1.326465346534653463e+03,2.300000000000000000e+01,1.940594059405940470e+02,1.880000000000000000e+03
2.130000000000000000e+02,0.000000000000000000e+00,1.302673267326732685e+02,1.303858415841584247e+03,2.300000000000000000e+01,1.750712871287128678e+02,1.837000000000000000e+03
2.140000000000000000e+02,0.000000000000000000e+00,1.189009900990099027e+02,1.289137623762376279e+03,2.500000000000000000e+01,1.627069306930692960e+02,1.809000000000000000e+03
2.150000000000000000e+02,0.000000000000000000e+00,9.941584158415841443e+01,1.263901980198019828e+03,1.500000000000000000e+01,1.415108910891088954e+02,1.761000000000000000e+03
2.160000000000000000e+02,0.000000000000000000e+00,7.100000000000000000e+01,1.227099999999999909e+03,2.300000000000000000e+01,1.105999999999999943e+02,1.691000000000000000e+03
2.170000000000000000e+02,0.000000000000000000e+00,5.313861386138614051e+01,1.203967326732673200e+03,2.300000000000000000e+01,9.117029702970296512e+01,1.647000000000000000e+03
2.180000000000000000e+02,0.000000000000000000e+00,4.461386138613861618e+01,1.192926732673267225e+03,7.400000000000000000e+01,8.189702970297030049e+01,1.626000000000000000e+03
2.190000000000000000e+02,0.000000000000000000e+00,4.014851485148514598e+01,1.187143564356435718e+03,7.800000000000000000e+01,7.703960396039603609e+01,1.615000000000000000e+03
2.200000000000000000e+02,0.000000000000000000e+00,6.491089108910891525e+01,1.219213861386138660e+03,8.600000000000000000e+01,1.039762376237623869e+02,1.676000000000000000e+03
