# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet,Lobith
2.130000000000000000e+02,0.000000000000000000e+00,1.879108910891089295e+02,1.378513861386138615e+03,2.300000000000000000e+01,2.377762376237623698e+02,1.979000000000000000e+03
2.140000000000000000e+02,0.000000000000000000e+00,1.789801980198020033e+02,1.366947524752475147e+03,2.500000000000000000e+01,2.280613861386138694e+02,1.957000000000000000e+03
2.150000000000000000e+02,0.000000000000000000e+00,1.497524752475247567e+02,1.329094059405940698e+03,1.500000000000000000e+01,1.962673267326732685e+02,1.885000000000000000e+03
2.160000000000000000e+02,0.000000000000000000e+00,1.249900990099010016e+02,1.297023762376237528e+03,2.300000000000000000e+01,1.693306930693069319e+02,1.824000000000000000e+03
2.170000000000000000e+02,0.000000000000000000e+00,1.156534653465346594e+02,1.284931683168316795e+03,2.300000000000000000e+01,1.591742574257425815e+02,1.801000000000000000e+03
2.180000000000000000e+02,0.000000000000000000e+00,1.148415841584158414e+02,1.283880198019802037e+03,7.400000000000000000e+01,1.582910891089109100e+02,1.799000000000000000e+03
2.190000000000000000e+02,0.000000000000000000e+00,1.144356435643564396e+02,1.283354455445544545e+03,7.800000000000000000e+01,1.578495049504950316e+02,1.798000000000000000e+03
2.200000000000000000e+02,0.000000000000000000e+00,1.087524752475247567e+02,1.275994059405940561e+03,8.600000000000000000e+01,1.516673267326732741e+02,1.784000000000000000e+03
2.210000000000000000e+02,0.000000000000000000e+00,1.014455445544554522e+02,1.266530693069306835e+03,6.400000000000000000e+01,1.437188118811881168e+02,1.766000000000000000e+03
2.220000000000000000e+02,0.000000000000000000e+00,9.251485148514851176e+01,1.254964356435643595e+03,4.300000000000000000e+01,1.340039603960395880e+02,1.744000000000000000e+03
2.230000000000000000e+02,0.000000000000000000e+00,8.683168316831682887e+01,1.247603960396039611e+03,2.000000000000000000e+01,1.278217821782178305e+02,1.730000000000000000e+03
2.240000000000000000e+02,0.000000000000000000e+00,1.168712871287128792e+02,1.286508910891089045e+03,1.800000000000000000e+01,1.604990099009901030e+02,1.804000000000000000e+03
2.250000000000000000e+02,0.000000000000000000e+00,1.607128712871287348e+02,1.343289108910891173e+03,1.670000000000000000e+02,2.081900990099009903e+02,1.912000000000000000e+03
2.260000000000000000e+02,0.000000000000000000e+00,1.590891089108910990e+02,1.341186138613861431e+03,8.100000000000000000e+01,2.064237623762376188e+02,1.908000000000000000e+03
2.270000000000000000e+02,0.000000000000000000e+00,1.452871287128712936e+02,1.323310891089108964e+03,4.800000000000000000e+01,1.914099009900990040e+02,1.874000000000000000e+03
2.280000000000000000e+02,0.000000000000000000e+00,1.298613861386138524e+02,1.303332673267326754e+03,8.300000000000000000e+01,1.746297029702970462e+02,1.836000000000000000e+03
2.290000000000000000e+02,0.000000000000000000e+00,1.079405940594059530e+02,1.274942574257425804e+03,4.100000000000000000e+01,1.507841584158416026e+02,1.782000000000000000e+03
2.300000000000000000e+02,0.000000000000000000e+00,7.911881188118812247e+01,1.237614851485148620e+03,4.900000000000000000e+01,1.194316831683168232e+02,1.711000000000000000e+03
2.310000000000000000e+02,0.000000000000000000e+00,5.192079207920792072e+01,1.202390099009900950e+03,2.300000000000000000e+01,8.984554455445544363e+01,1.644000000000000000e+03
2.320000000000000000e+02,0.000000000000000000e+00,3.365346534653465227e+01,1.178731683168316749e+03,6.100000000000000000e+01,6.997425742574257868e+01,1.599000000000000000e+03
2.330000000000000000e+02,0.000000000000000000e+00,2.884393063583815220e+01,1.149491329479768865e+03,2.800000000000000000e+01,6.294797687861271385e+01,1.558000000000000000e+03
2.340000000000000000e+02,0.000000000000000000e+00,2.768786127167630085e+01,1.124982658959537503e+03,1.360000000000000000e+02,5.989595375722542769e+01,1.526000000000000000e+03
2.350000000000000000e+02,0.000000000000000000e+00,2.609826589595375879e+01,1.091283236994219578e+03,2.800000000000000000e+01,5.569942196531791723e+01,1.482000000000000000e+03
2.360000000000000000e+02,0.000000000000000000e+00,2.476156069364161993e+01,1.062945086705202357e+03,1.800000000000000000e+01,5.217052023121387094e+01,1.445000000000000000e+03
2.370000000000000000e+02,0.000000000000000000e+00,2.291907514450867112e+01,1.023884393063583730e+03,3.100000000000000000e+01,4.730635838150288919e+01,1.394000000000000000e+03
2.380000000000000000e+02,0.000000000000000000e+00,2.208815028901734223e+01,1.006268786127167687e+03,3.100000000000000000e+01,4.511271676300577838e+01,1.371000000000000000e+03
2.390000000000000000e+02,0.000000000000000000e+00,2.053468208092485625e+01,9.733352601156068431e+02,7.700000000000000000e+01,4.101156069364161283e+01,1.328000000000000000e+03
2.400000000000000000e+02,0.000000000000000000e+00,1.916184971098265777e+01,9.442312138728323134e+02,4.700000000000000000e+01,3.738728323699421452e+01,1.290000000000000000e+03
2.410000000000000000e+02,0.000000000000000000e+00,1.851156069364161993e+01,9.304450867052023568e+02,4.200000000000000000e+01,3.567052023121387094e+01,1.272000000000000000e+03
2.420000000000000000e+02,0.000000000000000000e+00,1.840317919075144459e+01,9.281473988439306595e+02,1.200000000000000000e+01,3.538439306358381486e+01,1.269000000000000000e+03
2.430000000000000000e+02,0.000000000000000000e+00,1.789739884393063818e+01,9.174248554913294811e+02,2.500000000000000000e+01,3.404913294797687939e+01,1.255000000000000000e+03
